rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-13,401851736,Utah Valley Wolverines,home,72,OVER,91.5,76.5,76.5,19.868879940753203,4.523923002063981,13.7,1634.0555853263636,1539.6307589267926,191.0469867660499
2,2026-03-13,401851738,Utah Tech Trailblazers,away,65.5,OVER,86,67,72.5,20.454104636895835,1.2868666650480094,12.8,1540.7428101363018,1598.592013018512,105.2161590925075
3,2026-03-13,401851305,Kansas Jayhawks,away,65,OVER,80,67.5,70,15.1314895272981,2.89634375440167,10.2,1597.1248469977636,1643.279433182442,85.07223090928733
4,2026-03-13,401851395,UC Irvine Anteaters,home,77,OVER,88.5,84.5,75,11.577292937918571,7.366236974698651,9.9,1585.85399774009,1533.9653342886652,131.26935209899648
5,2026-03-13,401851225,UAB Blazers,home,75.5,OVER,87,70.5,75,11.470483409080927,-4.819680873754365,8.8,1557.892415484928,1481.8599191259864,195.67958679946832
6,2026-03-13,401851476,Delaware State Hornets,away,64,UNDER,51,66.5,67,-13.062966908360892,2.213756042922327,8.7,1374.7046497449635,1459.3006235728503,164.39675959013857
7,2026-03-13,401851182,Duke Blue Devils,home,73,OVER,79.5,84,76.5,6.53626190724205,11.456631327865594,8.5,1705.7485397303028,1600.9889316374945,275.3811459261972
8,2026-03-13,401851566,Tennessee Volunteers,away,73,OVER,82.5,79,71,9.392665485305614,5.879527078394531,8,1567.071801564629,1602.1328399148492,59.3393392000944
9,2026-03-13,401851381,Illinois Fighting Illini,home,82,UNDER,71.5,85,75,-10.585123117584075,3.04692325788794,7.6,1654.294006921349,1606.8096014456346,120.86274209155386
10,2026-03-13,401851568,Oklahoma Sooners,away,81,UNDER,70,82,72,-11.19722426931692,0.6732490300637721,7,1535.8607956373562,1605.1969675889718,149.95354896099343
11,2026-03-13,401851273,VCU Rams,home,81,UNDER,73,86,77.5,-8.065630272110866,5.236440687237405,6.9,1634.2766910584294,1523.4213727360504,262.873663403368
12,2026-03-13,401851383,Michigan State Spartans,home,74,OVER,81.5,79.5,75.5,7.512194382713332,5.813336790386117,6.8,1627.9277385719845,1578.6535790507733,77.24466126990774
13,2026-03-13,401851395,Cal State Northridge Matadors,away,72.5,OVER,79.5,78.5,73,7.110506702868278,5.872169606822212,6.6,1533.9653342886652,1585.85399774009,131.26935209899648
14,2026-03-13,401851504,San Diego State Aztecs,home,75.5,OVER,82.5,81,73.5,7.064088056575812,5.733121511081237,6.5,1577.241301690796,1583.6135449479304,13.167037984384024
