rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,line_move_total,line_move_pts,n_snapshots,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
1,2026-03-11,401851559,Ole Miss Rebels,Texas Longhorns,145,-6,OVER,155.5,155,155.5,139,155,153,10.455416287685097,10.022417524264597,10.598478000538876,-5.9676666259765625,7.864162491513923,10.238916905974861,12.7,-5,-0.5,3,1562.9577604440954,1441.313296890531,288.9133556314853,1696.2128922031611,1407.299536571676,79.84957477936184,73.01458771215208
2,2026-03-11,401851549,Boston University Terriers,Lehigh Mountain Hawks,140,1.5,OVER,143,156,142,133,149.5,148,2.926614021705859,15.814317394104705,1.8046327648397096,-7.06170654296875,8.072082984127576,9.370465707905282,11.4,-1,-0.2,3,1506.8684107990302,1525.847774174735,-55.45110816643955,1518.2478586425204,1573.69896680896,73.14668358523905,74.92539939888852
3,2026-03-11,401851391,Cal Poly Mustangs,UC San Diego Tritons,158.5,-5.5,UNDER,155.5,147,158,144,151,150.5,-3.2001539830355625,-11.550838360248093,-0.3977813364648455,-14.571914672851562,-8.101324316519026,-7.375496171641828,10.5,NA,0,NA,1575.6409855501984,1497.367671181154,100.68129982735265,1641.1575567439413,1540.476256916589,76.26959444872288,74.12908123475806
4,2026-03-11,401851495,Wyoming Cowboys,UNLV Rebels,154,-3.5,UNDER,151,143.5,148,135,147.5,147.5,-2.8261781276936517,-10.407538496453583,-6.178893797657565,-19.218963623046875,-6.566478318273312,-6.616858312073617,9.7,NA,0,NA,1495.818436832497,1531.4897366152022,-38.28495422015226,1554.2046883311248,1592.489642551277,73.2073024521523,74.2262192295744
5,2026-03-11,401851721,Jackson State Tigers,Florida A&M Rattlers,147.5,-4.25,UNDER,145,137,139,140,141,145,-2.346222322282813,-10.697973924289414,-8.524240923901942,-7.419158935546875,-2.392921621366156,-6.522098123286128,9.6,NA,0,NA,1503.1046710741475,1470.6077384714663,122.5160994669718,1518.9886729947127,1396.472573527741,73.10087253007656,72.00620584855727
6,2026-03-11,401851408,New Mexico State Aggies,Sam Houston Bearkats,156,-4.5,UNDER,150.5,149,141,142,150,149,-5.560604852132599,-6.841488956586602,-15.060589071227241,-14.19696044921875,-6.763849932874166,-6.2010469043596,9.6,NA,0,NA,1583.4923849310062,1513.6363708242784,117.88817566438524,1684.547214398182,1566.6590387337967,76.9053825755516,72.33076749157424
7,2026-03-11,401851367,USC Trojans,Washington Huskies,152.5,-5.5,UNDER,145.5,148,140,145.5,147,147,-6.754968298203067,-4.5452344708590715,-12.260900156783407,-6.8672332763671875,-5.407084867228974,-5.6501013845310695,9.3,NA,0,NA,1494.1271481203974,1509.5042868200007,51.55268749702009,1544.4621632318908,1492.9094757348707,73.00986943709779,74.08304569567328
8,2026-03-11,401851407,Missouri State Bears,Liberty Flames,144,-5.5,OVER,146,155.5,138.5,145.5,151,147.5,2.233945923661537,11.486271549391148,-5.3462562322569624,1.5226593017578125,3.501347302263099,6.8601087365263425,9,NA,0,NA,1613.5454236785226,1480.8412354528366,186.01045099747216,1691.6739533720506,1505.6635023745785,76.27863586887655,71.22271143338655
9,2026-03-11,401851557,LSU Tigers,Kentucky Wildcats,151,-8.25,OVER,157.5,157.5,181,144,157.5,152,6.067542425655176,6.44390520752296,29.849466897350396,-7.3219146728515625,0.8820151204964759,6.255723816589068,8.9,-1.25,-0.25,3,1554.0303214055407,1459.6358787164695,229.3354699624481,1667.499654987333,1438.164185024885,78.17910191954148,73.952913200955
10,2026-03-11,401851308,Providence Friars,Butler Bulldogs,162,1.5,UNDER,153,169.5,158.5,142,161.5,149,-9.059882773266992,7.4182841185556185,-3.5298023694501808,-20.28460693359375,-13.341201270229249,-0.8207993273557008,8.6,-3.75,0.75,3,1501.4706151524397,1503.7799268999488,-46.769672740914984,1493.128844925136,1539.898517666051,73.84370046846647,75.0650982613043
11,2026-03-11,401851560,South Carolina Gamecocks,Oklahoma Sooners,149,-7.5,OVER,155,156.5,140,139.5,155.5,147.5,5.76242131984435,7.0634712005364975,-9.483413154086747,-9.8134613037109375,-1.5395745939332528,6.412946260190438,8.2,0.25,0.05,3,1529.1703051181405,1469.6886689908704,160.54235318425413,1622.058300149244,1461.51594696499,75.65942510863604,72.0510002974307
12,2026-03-11,401851294,Oklahoma State Cowboys,TCU Horned Frogs,157,-4.5,UNDER,150.5,154.5,147.5,142,152.5,147.5,-6.631726250883986,-2.422408207631605,-9.552270366861649,-15.19696044921875,-9.388917544979108,-4.527067229257796,8.2,NA,0,NA,1593.8078470178634,1525.6207288909147,164.02375979715976,1720.3276815457095,1556.3039217485498,75.26507480294272,72.34600765207819
13,2026-03-11,401851310,Georgetown Hoyas,DePaul Blue Demons,132.5,-1.5,OVER,139.5,129,156.5,139.5,134,145,7.083298937881324,-3.6193209048331596,23.855697476090825,7.0994415283203125,12.557356409646218,1.7319890165240963,7.2,-5,-0.5,3,1501.7197133488953,1480.2492974577997,28.926871112393655,1500.9921420052904,1472.0652708928967,72.82926023851077,72.22809617113545
14,2026-03-11,401851176,Wake Forest Demon Deacons,Clemson Tigers,142,-4.5,OVER,143,149.5,153.5,142,146.5,146.5,0.9701902914978007,7.737225925027531,11.492572570856026,-0.19696044921875,4.52809726436621,4.353708108262651,6.9,NA,0,NA,1594.5244669453518,1526.1473196181728,123.85996224391032,1708.3840402393846,1584.5240779954745,74.86158511005824,71.66651215430797
15,2026-03-11,401851173,Pittsburgh Panthers,NC State Wolfpack,144,-8.5,OVER,145.5,151,146,139,148,152,1.463995496785742,6.88316799114952,2.160614811430605,-4.9676666259765625,8.095470289549496,4.173581743967645,6.8,NA,0,NA,1557.8505124777023,1458.1682356663025,205.02069566110256,1684.3793811631597,1479.358685502057,79.27433516761543,72.82113512193408
16,2026-03-11,401851558,Mississippi State Bulldogs,Auburn Tigers,159,-7.5,OVER,161,164.5,165,141.5,162.5,149,2.1997665891068436,5.263929968242877,5.861269984398035,-17.350860595703125,-10.118940755239464,3.7318482786748746,6.1,-0.5,-0.1,3,1506.1786081681862,1461.841959902589,88.97977515973139,1544.6304155901985,1455.650640430467,75.74364525941084,73.1374139853497
17,2026-03-11,401851614,McNeese Cowboys,Stephen F. Austin Lumberjacks,137,1.5,OVER,140.5,138.5,161,137,139.5,155,3.314711857935066,1.617475585242488,24.016875830578044,0.140045166015625,17.94659574468085,2.466093721588777,6.1,NA,0,NA,1662.9644069114074,1658.1235006289712,14.563413831405567,1830.8970990646883,1816.333685233283,77.29244680851063,77.65414893617022
18,2026-03-11,401851370,Rutgers Scarlet Knights,Minnesota Golden Gophers,136,-5,OVER,140.5,138,126.5,136.5,139,144.5,4.675901044298712,2.043740187711478,-9.054779335372686,0.759002685546875,8.973365100359672,3.359820616005095,6.1,NA,0,NA,1507.3882514518943,1464.5204317023313,98.12559338243592,1557.319163281354,1459.193569898918,72.97246097723239,71.75090412312728
19,2026-03-11,401851392,UC Santa Barbara Gauchos,UC Davis Aggies,142,5.5,OVER,147,139.5,144.5,143,143.5,147.5,5.051311100763769,-2.5099313670375807,2.7469730138705586,0.8300628662109375,5.256568663607709,1.2706898668631084,6.1,NA,0,NA,1531.2504453487556,1547.7981223172126,-39.617102933415254,1575.7770636734326,1615.394166606848,73.73022837969602,73.52634028391168
20,2026-03-11,401851174,SMU Mustangs,Louisville Cardinals,163,-6.5,UNDER,157.5,170.5,149,141.5,164,147,-5.669789947640453,7.106961796325805,-14.443283554042608,-21.784133911132812,-16.082191326599343,0.7185859243426762,5.5,NA,0,NA,1601.5683396392217,1536.8097716570223,144.7079235894821,1764.543131023344,1619.835207433862,76.07831837037037,71.0894903030303
21,2026-03-11,401851309,Xavier Musketeers,Marquette Golden Eagles,154,-4.25,UNDER,150.5,170,151.5,136,160.5,146.5,-3.644396061697506,16.172234818791196,-2.694002313924102,-17.78668212890625,-7.51305886615512,6.263919378546859,5.3,0,0,3,1465.425844709652,1484.3329282583582,65.77098234910477,1551.322411481564,1485.5514291324594,72.49565643648765,73.99128469735722
22,2026-03-11,401851733,Tarleton State Texans,Abilene Christian Wildcats,137,1.5,OVER,140,138.5,126,142.5,139,144.5,2.8258704470435703,1.3185494754977753,-10.874002139325725,5.285552978515625,7.545077778106503,2.072209961270687,4.8,NA,0,NA,1470.2468306407857,1464.8553265790931,13.341202116967906,1445.4306997773867,1432.0894976604188,72.14345440601015,72.40162337209635
23,2026-03-11,401851336,Idaho Vandals,Montana Grizzlies,146,2,OVER,151,145,157.5,143,148,147.5,5.1237434719975,-0.9143298056459912,11.315865289688759,-3.1699371337890625,1.4814693796083418,2.1047068331757544,4.8,NA,0,NA,1520.7272572302877,1540.987872153205,-66.03037923015427,1551.4078232185134,1617.4382024486677,73.32365575376942,74.15781362583893
24,2026-03-11,401851496,Air Force Falcons,Nevada Wolf Pack,140,-20.5,OVER,145.5,138.5,138,137.5,142,150,5.286414406210326,-1.4686301043463175,-2.0302998722063705,-2.7473907470703125,9.84401803652969,1.9088921509319903,4.3,NA,0,NA,1564.7528531163557,1323.4984177464034,467.6019907567181,1633.676927970832,1166.074937214114,81.92954337899543,67.91447465753426
25,2026-03-11,401851718,Prairie View A&M Panthers,Bethune-Cookman Wildcats,151.5,-5,UNDER,148.5,161.5,151,144,155,149,-2.855304846306126,9.76209772341818,-0.28504238512505253,-7.5394744873046875,-2.6196665224629783,3.4533964385560125,4.2,NA,0,NA,1524.1905952495358,1475.207475184012,103.7327242484182,1578.6616937829745,1474.9289695345562,75.0712311802233,73.80910229731373
26,2026-03-11,401851472,Delaware State Hornets,Morgan State Bears,143.5,-3,OVER,147,144,131.5,135,145.5,142,3.6451423396466964,0.5076204488891847,-11.842019338936211,-8.35693359375,-1.6576525139664682,2.0763813942679405,4,NA,0,NA,1499.5572764441845,1374.7046497449635,239.59124210347727,1467.9271049775305,1228.3358628740532,75.85861666666666,65.98373081936685
27,2026-03-11,401851498,San José State Spartans,Boise State Broncos,145,-15.5,OVER,148.5,146,131,142.5,147,149.5,3.007515813605778,0.6706016825657741,-14.38985248556915,-2.69183349609375,4.3519012761613,1.8390587480857903,4,NA,0,NA,1586.0122523829052,1387.6441001695327,416.2338101044472,1726.525458292159,1310.291648187712,80.3342674834099,69.2676337927514
28,2026-03-11,401851289,Arizona State Sun Devils,Iowa State Cyclones,148,-11.5,UNDER,144,157.5,156,141.5,151,149.5,-4.130829961017355,9.715829628094667,8.225767742225344,-6.5341339111328125,1.3072597747385544,2.7924998335386704,3.8,NA,0,NA,1626.0637186496422,1525.7965466800629,169.8635926205518,1763.9499608990411,1594.086368278489,77.01870444746994,72.28855532726861
29,2026-03-11,401851258,St. Bonaventure Bonnies,La Salle Explorers,145,5.5,UNDER,143,146.5,141,132.5,144.5,143,-1.7982041273720597,1.551944707054247,-3.5540483157061544,-12.343002319335938,-1.8160436507936595,-0.12312971015890639,3.8,NA,0,NA,1424.1370024212931,1490.573234510493,-101.88852889910164,1394.1741527961103,1496.0626816952122,69.3732992063492,73.56065714285714
30,2026-03-11,401851222,Temple Owls,Florida Atlantic Owls,145,-1.5,OVER,146,145.5,148.5,145,145.5,147.5,1.1956091813271996,0.28590380983320074,3.319404583630728,-0.1052398681640625,2.632362917963576,0.7407564955802002,3.7,NA,0,NA,1515.3209366016429,1500.4270489479609,55.96896727326998,1568.479757535065,1512.510790261795,74.44140032715501,73.19096259080858
31,2026-03-11,401851369,Northwestern Wildcats,Indiana Hoosiers,142.5,-4.5,UNDER,139,151,140,145,145,147.5,-3.2687437757851114,8.372888159172533,-2.2674674315429115,2.5364227294921875,5.079567194464005,2.5520721916936964,3.5,NA,0,NA,1527.558007855201,1487.562484677753,69.65687085067884,1591.166169496473,1521.5092986457942,75.21556669012432,72.36400050433967
32,2026-03-11,401851293,BYU Cougars,West Virginia Mountaineers,143,4.5,UNDER,141,142.5,158,163,141.5,146.5,-2.071436883268632,-0.5986589970412979,15.239378200026351,19.933807373046875,3.504770751222253,-1.3350479401549649,3.2,NA,0,NA,1537.5994829837664,1575.0206438029209,-32.02074088503991,1631.6689358504686,1663.6896767355086,70.82870264370787,75.67606810751438
33,2026-03-11,401851291,Cincinnati Bearcats,UCF Knights,148,3,UNDER,147.5,154.5,137.5,145,151,146.5,-0.6486903748495365,6.692197825895676,-10.310808334277965,-3.1512298583984375,-1.6595178731178635,3.0217537255230695,2.7,NA,0,NA,1570.491905127774,1544.3492447822705,-42.375505731073645,1648.601490030408,1690.9769957614817,74.36740907200907,71.97307305487305
34,2026-03-11,401851221,Tulane Green Wave,Memphis Tigers,151,-4,UNDER,151,161,148,135.5,156,146.5,-0.13045481402849646,9.716275320924012,-3.095386822389827,-15.91302490234375,-4.738101330423632,4.792910253447758,2.7,NA,0,NA,1465.7513475513135,1517.132439736261,-9.45659417981824,1469.1314685337113,1478.5880627135296,72.7843373973468,73.72756127222956
35,2026-03-11,401851365,Maryland Terrapins,Iowa Hawkeyes,136.5,-11.75,UNDER,136,135.5,143,139,136,150.5,-0.48257817251908364,-0.9302720473670263,6.580040384090012,2.5323333740234375,13.91023411823943,-0.7064251099430408,2.5,NA,0,NA,1562.9231114413806,1450.8395751071453,219.4360417068324,1672.667335268165,1453.231293561333,78.24239811918726,72.16783599905219
36,2026-03-11,401851175,California Golden Bears,Florida State Seminoles,153,-4,UNDER,151,153,157.5,143,152,147,-1.8645785764195182,0.33953787131002855,4.893547073947076,-9.9199371337890625,-5.705412252413652,-0.762520352554759,2.5,NA,0,NA,1544.3976091271877,1564.970651214251,33.07550800086119,1635.086275768478,1602.010767767617,73.16534393351249,73.87924381407386
37,2026-03-11,401851497,Fresno State Bulldogs,Colorado State Rams,145,-7,OVER,146,138,148,139,142,150.5,1.0009033352275765,-6.856390154162739,2.798502117006336,-5.9676666259765625,5.537877554980582,-2.927743409467581,2.3,NA,0,NA,1559.943034081379,1459.1394989554494,186.1209184097429,1644.3432530867012,1458.2223346769583,77.14702960327728,73.39084795170332
38,2026-03-11,401851260,Loyola Chicago Ramblers,Richmond Spiders,144,-5.5,OVER,145,133.5,133.5,141,139.5,139.5,1.1992915238696753,-10.363306661481062,-10.353100394902697,-3.1124420166015625,-4.649430804308963,-4.582007568805693,1.7,NA,0,NA,1470.224394472278,1408.639713480648,145.546951797367,1495.2375663008545,1349.6906145034875,71.29384966166519,68.05671953402585
