rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,line_move_spread,line_move_pts,n_snapshots,elo_diff_04,market_spread_home
1,2026-03-10,401851287,Oklahoma State Cowboys,Colorado Buffaloes,Colorado Buffaloes -1.5,Colorado Buffaloes -1.5,Colorado Buffaloes -13.5,-0.5,21.5,16.5,13.5,-2,20,15,12,0.8,0,0.6,0,12,14.4,NA,0,NA,67.82596939154678,-1.5
2,2026-03-10,401851717,Grambling Tigers,Jackson State Tigers,Jackson State Tigers +6,Jackson State Tigers +6,Jackson State Tigers -2,-4,6.5,3,2,2,12.5,9,8,2.8,1.5,0.6,0,8,13,NA,0,NA,11.535925855355572,6
3,2026-03-10,401851282,Baylor Bears,Arizona State Sun Devils,Arizona State Sun Devils +3.5,Arizona State Sun Devils +3.5,Arizona State Sun Devils -4,-3.5,6.5,6.5,4,0,10,10,7.5,2.8,1.5,0.6,0,7.5,12.4,NA,0,NA,43.49836196999854,3.5
4,2026-03-10,401851204,NJIT Highlanders,Vermont Catamounts,Vermont Catamounts -12,Vermont Catamounts -12,Vermont Catamounts -19.5,1,27.5,25,19.5,-11,15.5,13,7.5,0.8,0,0.6,2.2,7.5,12.4,NA,0,NA,197.79387246392412,-12
5,2026-03-10,401851283,Utah Utes,Cincinnati Bearcats,Cincinnati Bearcats -11.5,Cincinnati Bearcats -11.5,Cincinnati Bearcats -20.5,6,13,31,20.5,-5.5,1.5,19.5,9,0.8,0,0.6,1.1,9,11.8,NA,0,NA,332.8824475964302,-11.5
6,2026-03-10,401851202,UMass Lowell River Hawks,UMBC Retrievers,UMBC Retrievers -7.5,UMBC Retrievers -7.5,UMBC Retrievers -15.5,2.5,9.5,25.5,15.5,-5,2,18,8,0.8,0,0.6,1,8,11,NA,0,NA,213.37693386093815,-7.5
7,2026-03-10,401851521,Mercyhurst Lakers,Long Island University Sharks,Long Island University Sharks -6.5,Mercyhurst Lakers +6.5,Long Island University Sharks -1.5,-3,6,2,1.5,-9.5,-0.5,-4.5,-5,2.8,1.5,0.6,0,5,9.7,NA,0,NA,95.54105100176456,-6.5
8,2026-03-10,401851171,Syracuse Orange,SMU Mustangs,SMU Mustangs -5,SMU Mustangs -5,SMU Mustangs -11.5,0,27.5,9.5,11.5,-5,22.5,4.5,6.5,0.8,0,0.6,1,6.5,9.4,NA,0,NA,50.354902219201904,-5
9,2026-03-10,401851716,Alcorn State Braves,Prairie View A&M Panthers,Prairie View A&M Panthers -7,Prairie View A&M Panthers -7,Prairie View A&M Panthers -12,-2,7.5,21,12,-9,0.5,14,5,0.8,0,0.6,1.8,5,8.9,NA,0,NA,142.42976151017706,-7
10,2026-03-10,401851334,Montana Grizzlies,Portland State Vikings,Portland State Vikings -2.5,Portland State Vikings -2.5,Portland State Vikings -8.5,-2,17,9.5,8.5,-4.5,14.5,7,6,0.8,0,0.6,0.9,6,8.6,NA,0,NA,85.79766407929105,-2.5
11,2026-03-10,401851612,UT Rio Grande Valley Vaqueros,McNeese Cowboys,McNeese Cowboys -7.5,UT Rio Grande Valley Vaqueros +7.5,McNeese Cowboys -4,-0.5,7.5,4.5,4,-8,-0,-3,-3.5,2.8,1.5,0.6,0,3.5,8.5,NA,0,NA,141.6229786029162,-7.5
12,2026-03-10,401851335,Idaho Vandals,Eastern Washington Eagles,Eastern Washington Eagles -1.5,Eastern Washington Eagles -1.5,Eastern Washington Eagles -7,-3.5,7,12.5,7,-5,5.5,11,5.5,0.8,0,0.6,1,5.5,8.5,NA,0,NA,1.3460235872726116,-1.5
