rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
17,2026-03-05,401804960,Kennesaw State Owls,UTEP Miners,147,2.5,UNDER,142,146.5,146.5,138.5,144.5,150,-5.1090627668329205,-0.6860064865791742,-0.806477789603889,-8.5282135009765625,2.8870551141575334,-2.897534626706033,6.4,1426.731436749569,1537.3958400078116,-172.49581969646192,1411.9188360366363,1584.4146557330985,69.86658555144177,80.27046956271576
18,2026-03-05,401825561,Rutgers Scarlet Knights,Michigan State Spartans,141,-19.5,OVER,143,147.5,132,137,145.5,147,1.793304518552418,6.732260357352459,-8.7619407920811625,-4.22784423828125,5.97533637899096,4.262782437952438,6.1,1630.318987354575,1460.6863162533014,326.3829490496423,1752.300563165985,1425.9176141163427,78.63057508989866,68.3447612890923
19,2026-03-05,401823056,Delaware State Hornets,Maryland Eastern Shore Hawks,125.5,-6.5,OVER,132.5,125.5,127,135,129,146,6.908177044345194,-0.036248534929555376,1.4386289746559555,9.362030029296875,20.664098097166004,3.4359642547078124,6,1426.4447542217197,1361.249507130649,124.4393496947814,1387.4619524925092,1263.0226027977278,75.29992307692308,70.86417502024293
20,2026-03-05,401828260,South Florida Bulls,Memphis Tigers,160,6.5,UNDER,156,159.5,156.5,151.5,157.5,147.5,-4.0866009648975705,-0.5152915410180299,-3.4047837817755067,-8.49603271484375,-12.32002013019175,-2.3009462529578,6,1473.677879197268,1606.7774193046334,-241.3688097122192,1513.2830336582326,1754.6518433704518,69.94647565626548,77.73350421354277
21,2026-03-05,401827038,Southern Jaguars,Alabama A&M Bulldogs,148.5,1.5,UNDER,147,145.5,138.5,143.5,146,149,-1.5609846996833028,-3.1051209681423586,-9.871065201001102,-4.9547119140625,0.3562217999894415,-2.3330528339128307,5.5,1512.061412195177,1479.382423156806,28.435125068213665,1498.941157986331,1470.5060329181174,74.61067697875086,74.2455448212386
22,2026-03-05,401851545,Loyola Maryland Greyhounds,Colgate Raiders,152,-6.5,UNDER,147.5,164,143,138,156,148.5,-4.506962345262195,12.158222209093026,-8.937271053146162,-13.8924560546875,-3.475023596964263,3.8256299319154152,5.4,1519.9749591872192,1449.3303723704869,153.0242369374282,1556.999130067257,1403.9748931298288,76.05846969025973,72.46650671277602
23,2026-03-05,401804957,Sam Houston Bearkats,Delaware Blue Hens,148,6.75,UNDER,143,152.5,148.5,158,148,147,-4.865203945421143,4.480558635714914,0.4297144332706466,10.247512817382812,-1.2466362447813708,-0.19232265485311473,5.4,1444.4744476251185,1604.1803595649872,-281.40691807441544,1418.3917896268429,1699.7987077012583,68.19080531751264,78.562558437706
24,2026-03-05,401828670,Mississippi Valley State Delta Devils,Jackson State Tigers,145,-10.5,OVER,147,149.5,134.5,134.5,148.5,148.5,2.23475454649963,4.440624813401797,-10.499235298679565,-10.599105834960938,3.2631533923303664,3.3376896799506994,5.3,1457.493039564963,1328.4464527239036,223.2151067154589,1369.995294627529,1146.7801879120698,78.05622418879057,70.20692920353981
25,2026-03-05,401809121,Cal Poly Mustangs,UC Irvine Anteaters,156,-9.5,UNDER,155,152.5,142.5,143,154,147.5,-0.5817085961224961,-3.2988730950445415,-13.46298626606199,-12.623748779296875,-8.397407752833715,-1.9402908455835188,5.3,1579.7190284233125,1498.0756524222377,103.41810561877264,1646.8393293073736,1543.421223688601,74.96209053042809,72.3905017167382
26,2026-03-05,401804958,Louisiana Tech Bulldogs,Liberty Flames,138,-9.5,OVER,141,138.5,139,140.5,140,147.5,2.7069283074333157,0.4446610573019143,0.5082744309214604,2.202392578125,9.03682388680815,1.5757946823675866,5.2,1620.2813136485695,1506.15707784032,157.4578998325851,1674.7589894580317,1517.3010896254466,75.7727165210154,71.51410736579275
27,2026-03-05,401851745,Pepperdine Waves,Portland Pilots,152,-2.75,UNDER,148,156.5,154,136.5,152.5,150.5,-3.940308076731668,4.693248421439932,1.9592592348610935,-15.694549560546875,-1.2532232730671353,0.37647017235411795,5.1,1464.3059512761092,1431.460761668224,48.99398189177827,1414.874075120657,1365.8800932288786,76.62605963687008,74.12071709006278
28,2026-03-05,401825560,Michigan Wolverines,Iowa Hawkeyes,147,8.75,UNDER,142.5,150.5,150,139,146.5,150,-4.301600283687236,3.604682598329873,2.7533289603318565,-8.1789398193359375,3.245386042692928,-0.3484588426786672,5,1571.2725180456553,1689.1494918873527,-208.708016456613,1678.35772589814,1887.065742354753,70.86327586206897,79.38211018062397
29,2026-03-05,401827152,Arkansas-Pine Bluff Golden Lions,Alcorn State Braves,147,1.5,UNDER,142,157,142.5,153,149.5,148,-5.3712543813987565,9.806902140194978,-4.979767835140308,5.745635986328125,0.6887510552879235,2.217823879398111,4.8,1427.3453488445534,1466.4215244535887,-89.19201179891184,1333.583299746152,1422.775311545064,71.99671178022483,75.9420392750631
30,2026-03-05,401822780,Coppin State Eagles,Morgan State Bears,149.5,-6.5,UNDER,147.5,153,147.5,135,150,148.5,-2.217141731244311,3.553785422787456,-1.9250121461491005,-14.35693359375,-0.8620480761165368,0.6683218457715725,4.5,1493.903938913258,1392.1255528303143,157.45496146089113,1442.8615057539178,1285.4065442930266,78.03333567163543,70.60461625224802
31,2026-03-05,401805212,UT Arlington Mavericks,Tarleton State Texans,136,-2.5,UNDER,136,133.5,134,133.5,134.5,145.5,-0.0710997925199024,-2.4639689193782317,-1.8048713352253571,-2.5120697021484375,9.6013018802189265,-1.267534355949067,4.4,1475.3298100628272,1518.832177296832,-88.8747771813712,1473.2190816313034,1562.0938588126746,72.02191618659084,73.57938569362808
32,2026-03-05,401809138,UC Davis Aggies,Long Beach State Beach,150,1.75,OVER,151,144.5,154.5,142.5,148,150.5,0.8921597175728664,-5.52471991210507,4.048935658418486,-7.777740478515625,0.08607541034513133,-2.3162800972660875,4.1,1429.0945132990953,1531.2504453487556,-196.89254926135004,1391.7033233855495,1588.5958726468996,71.77500880134859,78.56106660899654
33,2026-03-05,401828257,Tulsa Golden Hurricane,East Carolina Pirates,156,9.5,UNDER,152,162.5,149.5,158,157.5,147,-3.778322651786027,6.860620386208495,-6.359627767827334,2.4975128173828125,-8.69330928163481,1.5411488672112341,3.9,1461.0305538742073,1616.3530110975678,-302.0933791580612,1397.8516657464036,1699.9450449044648,68.73481776765375,78.32187295071144
34,2026-03-05,401805211,Abilene Christian Wildcats,California Baptist Lancers,135.5,-8.5,OVER,136.5,132.5,139.5,143,134.5,144,1.0390076152578445,-2.859099447511227,3.752976974685339,7.626251220703125,8.749157633432901,-0.9100459161267054,3.6,1585.3054956205876,1486.288962107022,145.6391720203087,1635.1137181299214,1489.474546109613,73.93230849470694,70.31684913872597
35,2026-03-05,401851746,San Diego Toreros,Loyola Marymount Lions,146,-5.5,OVER,147.5,140.5,141.5,135.5,144,150.5,1.7210039970146909,-5.053754298245536,-4.168707636087106,-10.181167602539062,4.80956088615244,-1.6663751506154085,3.5,1474.3382335209192,1439.622122913472,100.78824163001856,1508.9922588397055,1408.204017209687,76.38185488277807,74.17770600337438
36,2026-03-05,401828732,Howard Bison,Norfolk State Spartans,148,5.5,UNDER,144,155,156,163.5,149.5,147.5,-4.2194271367378064,6.997366774034759,8.221133617306378,15.387039184570312,-0.3838007856340937,1.3889698186484907,3.3,1497.8684356889896,1570.0857837645408,-134.3764319971915,1519.3319341425972,1653.7083661397887,72.01747111592113,75.59872809844477
37,2026-03-05,401827082,Prairie View A&M Panthers,Texas Southern Tigers,155,-3.5,UNDER,154,157.5,150.5,134.5,156,149.5,-0.8412891307110328,2.5387309986050184,-4.324125733471874,-20.374404907226562,-5.681869079939645,0.8487209339469928,3.3,1485.343894179584,1455.4623333919783,65.16896283114147,1481.1456282633017,1415.9766654321602,75.16553921568628,74.15259170437406
38,2026-03-05,401827126,Bethune-Cookman Wildcats,Florida A&M Rattlers,145,2.5,UNDER,143,147,147,133.5,145,147,-2.2127464172769464,2.022801383529952,2.089119010295917,-11.512069702148438,2.242633819064963,-0.09497251687349717,3.2,1493.6816330496706,1533.613633274013,-98.81277805908394,1467.6353164602644,1566.4480945193484,72.42964729811779,74.81298652094718
39,2026-03-05,401851622,South Dakota State Jackrabbits,St. Thomas-Minnesota Tommies,149,-6.25,OVER,152,141,157,140.5,146.5,146,2.8160829047764935,-8.030503785722033,7.8044260955434765,-8.93927001953125,-3.0911125228668936,-2.607210440472784,3.2,1600.2641007393458,1482.950354499151,200.62021010259787,1726.1776136127517,1525.5574035101538,76.37397936063154,69.7849081165016
40,2026-03-05,401851454,Sacred Heart Pioneers,Iona Gaels,147,-3.5,OVER,148,146,155,143.5,147,146.5,0.968796183670122,-0.9227934448394137,8.080818424921603,-3.4547119140625,-0.31686149472972147,0.023001369415339923,2.2,1516.512363353685,1481.46846220812,44.69940842812207,1501.720768817163,1457.0213603890409,73.46647454133044,73.21666396393985
41,2026-03-05,401804959,Jacksonville State Gamecocks,New Mexico State Aggies,143,-6,UNDER,142.5,146.5,151,145.5,144.5,148.5,-0.3372435685926405,3.328400422417019,7.756944756638518,2.6327667236328125,5.472992323955111,1.495578426912175,1.7,1493.051856563305,1479.386811514731,36.5940915360145,1543.923053024056,1507.3289614880414,74.62831812896405,73.84467419499106
42,2026-03-05,401851698,TBD,Southern Miss Golden Eagles,NA,NA,NA,NA,NA,NA,145.5,NA,147.5,NA,NA,NA,NA,NA,NA,NA,1514.0837254405917,1500,NA,NA,NA,74.43421162687888,73.20598850574713
43,2026-03-05,401851620,TBD,North Dakota State Bison,NA,NA,NA,NA,NA,NA,140.5,NA,148,NA,NA,NA,NA,NA,NA,NA,1617.9182953028387,1500,NA,NA,NA,76.81664499703967,71.23556542332742
44,2026-03-05,401851526,TBD,UT Martin Skyhawks,NA,NA,NA,NA,NA,NA,144,NA,146,NA,NA,NA,NA,NA,NA,NA,1571.845142190821,1500,NA,NA,NA,73.68079731658136,72.19473398479914
45,2026-03-05,401851699,TBD,Arkansas State Red Wolves,NA,NA,NA,NA,NA,NA,144,NA,147.5,NA,NA,NA,NA,NA,NA,NA,1575.5908412902402,1500,NA,NA,NA,76.13910713935607,71.45285543608125
46,2026-03-05,401851528,TBD,Southeast Missouri State Redhawks,NA,NA,NA,NA,NA,NA,145,NA,147,NA,NA,NA,NA,NA,NA,NA,1552.9501751981363,1500,NA,NA,NA,74.82722190016104,72.38561114021303
