rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,elo_diff_04,market_spread_home
1,2026-03-06,401851489,UIC Flames,Murray State Racers,Murray State Racers -1.5,UIC Flames +1.5,UIC Flames -10.5,-7.5,-8.5,-13.5,-10.5,-9,-10,-15,-12,2.8,1.5,0.6,0,12,17,-45.90959170512906,-1.5
2,2026-03-06,401818565,Pennsylvania Quakers,Brown Bears,Brown Bears +2,Pennsylvania Quakers -2,Pennsylvania Quakers -13,-14,-19,-9.5,-13,-12,-17,-7.5,-11,2.8,1.5,0.6,0,11,16,-213.8437469407079,2
3,2026-03-06,401851621,Omaha Mavericks,South Dakota Coyotes,South Dakota Coyotes +3.5,South Dakota Coyotes +3.5,South Dakota Coyotes -6.5,-6,21,6,6.5,-2.5,24.5,9.5,10,0.8,0,0.6,0,10,12.9,-9.681908644994335,3.5
4,2026-03-06,401851246,Florida Gulf Coast Eagles,Lipscomb Bisons,Lipscomb Bisons -4,Lipscomb Bisons -4,Lipscomb Bisons -13.5,-0,23,15,13.5,-4.5,19,11,9,0.8,0,0.6,0.9,9,11.7,132.62243586042428,-4.25
5,2026-03-06,401814603,Western Michigan Broncos,Kent State Golden Flashes,Kent State Golden Flashes -12,Western Michigan Broncos +12,Kent State Golden Flashes -7.5,1.5,28,0.5,7.5,-10.5,16,-11.5,-4.5,1,0,0.6,2.5,4.5,11.3,262.75674043617164,-12
6,2026-03-06,401814600,Central Michigan Chippewas,Ball State Cardinals,Ball State Cardinals -2.5,Central Michigan Chippewas +2.5,Central Michigan Chippewas -6,-8,4,-10,-6,-10.5,1.5,-12.5,-8.5,1,0,0.6,0,8.5,10.9,-47.88461722196075,-2.5
7,2026-03-06,401856422,Northeastern Huskies,North Carolina A&T Aggies,North Carolina A&T Aggies 0,North Carolina A&T Aggies 0,North Carolina A&T Aggies -6,0.5,7,8,6,0.5,7,8,6,2.8,1.5,0.6,0,6,10.7,135.4903163342326,0
8,2026-03-06,401814601,Miami (OH) RedHawks,Ohio Bobcats,Ohio Bobcats +5.5,Miami (OH) RedHawks -5.5,Miami (OH) RedHawks -11,-16,-8.5,-9.5,-11,-10.5,-3,-4,-5.5,2.8,1.5,0.6,0,5.5,10.2,-372.08869910541966,5.5
9,2026-03-06,401814602,Northern Illinois Huskies,Akron Zips,Akron Zips -22.5,Akron Zips -22.5,Akron Zips -26,9.5,19.5,37.5,26,-13,-3,15,3.5,1,0,0,2.5,3.5,9.9,557.7829038132863,-22.5
10,2026-03-06,401851348,Charleston Southern Buccaneers,Winthrop Eagles,Winthrop Eagles -4,Winthrop Eagles -4,Winthrop Eagles -11.5,3.5,16.5,12.5,11.5,-0.5,13,9,7.5,0.8,0,0.6,0,7.5,9.1,147.6509667500377,-3.75
