rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-08,401825569,Iowa Hawkeyes,away,64,OVER,74.5,71,72,10.564574387074614,7.0776270940827,9.2,1562.9231114413806,1640.115335691866,96.3792849363806
2,2026-03-08,401851602,New Orleans Privateers,home,73,OVER,87,72,76,13.974503025434373,-1.3713884325231334,8.9,1497.3580725332995,1463.9523047259136,132.4538980375089
3,2026-03-08,401851431,Green Bay Phoenix,home,71.5,UNDER,64,75.5,75.5,-7.656695178148929,3.943326070385794,6.2,1536.3282151522712,1550.1602492245174,-17.543368483301947
4,2026-03-08,401828264,Tulane Green Wave,home,75.5,UNDER,67,75,74.5,-8.853399241768727,-0.4086244451376757,5.5,1517.132439736261,1465.7513475513135,9.45659417981824
5,2026-03-08,401828265,Rice Owls,home,81,UNDER,72,81,73.5,-8.557562217174862,0.3484286476245444,5.3,1469.309404142603,1365.1581161902538,214.5701221336465
6,2026-03-08,401851604,Northwestern State Demons,away,69.5,UNDER,65,63,72,-4.184878775912921,-6.584741111764117,5.1,1438.1269004978865,1479.5843987523954,37.22209457241843
7,2026-03-08,401851431,Northern Kentucky Norse,away,74,OVER,82,73.5,77,8.052984194524441,-0.3902108562634936,5,1550.1602492245174,1536.3282151522712,-17.543368483301947
8,2026-03-08,401828262,UAB Blazers,home,79.5,UNDER,76,73.5,76,-3.618668841663066,-6.082379456988576,4.6,1552.1611464197642,1453.7073260806867,231.48403333699048
9,2026-03-08,401825568,Michigan State Spartans,away,70,OVER,75,74,69.5,4.819062503589919,3.9084317129177037,4.5,1634.5291278438613,1697.4988984916274,177.2126273661729
10,2026-03-08,401825567,Maryland Terrapins,home,65.5,UNDER,62,60.5,68,-3.6973801819952925,-5.188527866543275,4.3,1444.4190060321314,1648.2115282972288,-444.3882008128255
11,2026-03-08,401828263,Charlotte 49ers,away,68,UNDER,64.5,73.5,72,-3.6072115155551643,5.27203955445232,4.3,1486.9265057665204,1614.703950950588,356.49871669883123
12,2026-03-08,401828266,Tulsa Golden Hurricane,home,82,UNDER,76.5,84.5,79,-5.714347888300864,2.297457364619021,4.3,1623.6762388910884,1505.710261414004,253.71429786796375
13,2026-03-08,401825570,Penn State Nittany Lions,away,72.5,UNDER,66,73,75.5,-6.6332653257826735,0.19418039312897406,4.1,1447.63988389096,1456.4761757640151,83.3785316627966
14,2026-03-08,401828264,Memphis Tigers,away,76.5,UNDER,76,69.5,75,-0.8231075861818624,-7.178620947740413,3.4,1465.7513475513135,1517.132439736261,9.45659417981824
15,2026-03-08,401851604,Nicholls Colonels,home,72,OVER,76,69.5,74,4.1578243042743,-2.3459173997935494,3.4,1479.5843987523954,1438.1269004978865,37.22209457241843
16,2026-03-08,401825570,Rutgers Scarlet Knights,home,78,UNDER,74,76,75,-4.005991920264435,-2.095372663764252,3.2,1456.4761757640151,1447.63988389096,83.3785316627966
17,2026-03-08,401851547,Colgate Raiders,away,74,UNDER,72,69.5,76,-2.0350692135209982,-4.9543468164673214,3.2,1526.3824517649466,1497.7693487672432,-69.69177561560355
18,2026-03-08,401828265,UTSA Roadrunners,away,69,OVER,70,75.5,70,0.7335064945180392,6.365797022906293,3,1365.1581161902538,1469.309404142603,214.5701221336465
19,2026-03-08,401825567,Illinois Fighting Illini,away,81,UNDER,77,82.5,82,-3.923681575528022,1.4749241032475737,2.9,1648.2115282972288,1444.4190060321314,-444.3882008128255
20,2026-03-08,401825568,Michigan Wolverines,home,79.5,UNDER,77,82.5,77,-2.4315582284314132,3.071053665529675,2.7,1697.4988984916274,1634.5291278438613,177.2126273661729
21,2026-03-08,401828266,Temple Owls,away,71,OVER,73.5,73,72.5,2.589459576561964,2.462669054062445,2.5,1505.710261414004,1623.6762388910884,253.71429786796375
22,2026-03-08,401828262,East Carolina Pirates,away,69,UNDER,65.5,77.5,72.5,-3.365223112226488,8.409223004610894,2.4,1453.7073260806867,1552.1611464197642,231.48403333699048
23,2026-03-08,401851548,Navy Midshipmen,home,72,UNDER,69,80,78,-3.000638994078159,7.574362082728044,2.2,1627.5811877983117,1511.1657590263,181.3183036911801
24,2026-03-08,401851602,Houston Christian Huskies,away,69,OVER,71,70,74,2.0012337528058595,1.4840006353347235,1.8,1463.9523047259136,1497.3580725332995,132.4538980375089
25,2026-03-08,401851547,Lehigh Mountain Hawks,home,73,UNDER,70.5,81,74,-2.236268627608311,8.078348051855428,1.7,1497.7693487672432,1526.3824517649466,-69.69177561560355
26,2026-03-08,401828263,South Florida Bulls,home,85,OVER,85.5,87,79,0.782853315993421,2.218498167664009,1.4,1614.703950950588,1486.9265057665204,356.49871669883123
27,2026-03-08,401825569,Nebraska Cornhuskers,home,70,OVER,71,61.5,76.5,0.6375775038778784,-8.92965863921927,0.8,1640.115335691866,1562.9231114413806,96.3792849363806
28,2026-03-08,401851548,Boston University Terriers,away,65,UNDER,65,65,72.5,-0.38133890377754653,-0.22128524276565997,0.3,1511.1657590263,1627.5811877983117,181.3183036911801
