rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,line_move_total,line_move_pts,n_snapshots,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
1,2026-03-10,401851467,Siena Saints,Merrimack Warriors,126,-3.5,OVER,135.5,142,128.5,143.5,139,146.5,9.382620217473374,16.16735722231806,2.521018538840451,17.285446166992188,20.480394395818138,12.774988719895703,15.7,-1.25,-0.25,3,1604.6944464853982,1583.176307868951,69.37602012116736,1726.693589041911,1657.3175689207435,73.52100444930707,72.95938994651107
2,2026-03-10,401851406,New Mexico State Aggies,Jacksonville State Gamecocks,140,1.25,OVER,146,151,143,143.5,148.5,148.5,5.782232964819485,10.921101143224348,3.1532941820722726,3.2570343017578125,8.568334529807686,8.351667054021902,11.4,-0.75,-0.15000000000000002,3,1489.927179572803,1502.273319258823,-30.44699251974953,1510.703703886246,1541.1506964059956,73.61117201133968,74.95716251846801
3,2026-03-10,401851285,Kansas State Wildcats,BYU Cougars,166,-10.5,UNDER,155,170.5,151.5,139,163,153,-10.962909835910978,4.629991605068085,-14.504484206213533,-26.967666625976562,-13.097056748717932,-3.1664591154214463,10.3,0,0,3,1569.742513695734,1451.5493601852,222.4445755493373,1655.270176127191,1432.8256005778535,79.67080946666667,73.23213378461539
4,2026-03-10,401851202,UMass Lowell River Hawks,UMBC Retrievers,145.5,-9,UNDER,138.5,138.5,149,145.5,138.5,148,-6.797478283463732,-7.176275158686508,3.346909472200764,0.0226593017578125,2.272716784272234,-6.986876721075106,9.1,-1.5,0.30000000000000004,3,1597.168978327888,1490.7327281005807,213.37693386093815,1718.7791414877606,1505.4022076268225,76.96402633580306,70.80869044846916
5,2026-03-10,401851762,Santa Clara Broncos,Gonzaga Bulldogs,159.5,-6.5,UNDER,149.5,160.5,146.5,138.5,155,151.5,-9.790582363275036,1.046417525761484,-13.160948316720123,-21.211685180664062,-8.073893557422963,-4.372082418756776,8.8,-4,0.8,3,1676.988432894702,1642.4494764655362,50.87958587024309,1878.6404396430944,1827.7608537728515,76.2879131652661,75.13819327731093
6,2026-03-10,401851170,Pittsburgh Panthers,Stanford Cardinal,137,-5.5,OVER,141,145,141,139.5,143,150.5,3.7915295697182785,7.9952576406042795,3.8055980560430953,2.4365386962890625,13.429942647271673,5.893393605161293,8.8,-2,-0.4,3,1567.4656482557632,1443.3141916308384,179.37210284979005,1645.9940544930275,1466.6219516432377,78.07976435808366,72.35017828918802
7,2026-03-10,401851362,Maryland Terrapins,Oregon Ducks,138.5,-4.5,UNDER,136.5,129,133,141,133,144,-1.790461556079805,-9.528263247336099,-5.63566034377385,2.315521240234375,5.381680398998043,-5.659362401707938,8,-0.25,0.05,3,1467.1889835462428,1438.3365274080113,71.77578766889928,1484.9505549860298,1413.1747673171303,72.43606503846843,71.44561536052962
8,2026-03-10,401851287,Oklahoma State Cowboys,Colorado Buffaloes,163,-1.5,UNDER,154,169,150.5,145,161.5,151,-9.24293160184277,6.145635830370793,-12.492762888976955,-18.105239868164062,-11.863381885656338,-1.5486478857359884,7.9,-0.25,0.05,3,1518.4017340637258,1513.781976374568,67.82596939154678,1585.8499195949137,1518.023950203367,75.24050402532026,75.89611408902341
9,2026-03-10,401851717,Grambling Tigers,Jackson State Tigers,142.5,7.5,OVER,144,151.5,131.5,153,148,143.5,1.6496209697284314,9.229418380156119,-11.115897279499023,10.495635986328125,0.8412833053819213,5.439519674942289,7.4,-1.5,-0.30000000000000004,3,1462.5320378072038,1454.8309751349234,4.02182210400656,1384.2446897009982,1380.2228675969916,72.39674132997916,70.94454197540276
10,2026-03-10,401851282,Baylor Bears,Arizona State Sun Devils,154,4,UNDER,148.5,153.5,150.5,145.5,151,150,-5.320432109402361,-0.36060826752441244,-3.4855403678400307,-8.2588958740234375,-3.7321848798171686,-2.840520188463387,6.6,-0.25,0.05,3,1517.797803745988,1507.3158041990812,43.49836196999854,1582.0685383583996,1538.570176388401,74.90434742547755,75.11346769470526
11,2026-03-10,401851283,Utah Utes,Cincinnati Bearcats,137,-11.5,OVER,140,143.5,135,143,141.5,146.5,2.5234594976105598,6.117859697162089,-2.319013210038264,5.9869384765625,9.172056609751309,4.320659597386339,6.5,-1.5,-0.30000000000000004,3,1539.1746051979364,1416.3245436827174,332.8824475964302,1687.4627517481315,1354.5803041517013,77.12023845571537,69.30181815403594
12,2026-03-10,401851611,Texas A&M-Corpus Christi Islanders,Stephen F. Austin Lumberjacks,134,-6.5,OVER,139.5,136.5,126,142,138,148.5,5.272634201340367,2.299292828375684,-8.424967359569365,7.7380523681640625,14.202908091180547,3.7859635148580537,6.2,-1.75,-0.35000000000000003,3,1657.676811599003,1539.9066302225704,210.18361353899945,1827.2515443165028,1617.0679307775033,77.10474226203482,71.34816582914573
13,2026-03-10,401851405,Missouri State Bears,Florida International Panthers,153,1.5,UNDER,149,152.5,148.5,143,150.5,148,-4.165853490510955,-0.7009395989318534,-4.518806982092144,-9.7579345703125,-5.2249323429934975,-2.433396544721404,6.1,0,0,3,1494.022342553171,1468.426245159013,51.68695729037063,1534.776197372024,1483.089240081653,74.43965445143456,73.33541320557192
14,2026-03-10,401851204,NJIT Highlanders,Vermont Catamounts,135,-13.5,OVER,138,140,133,139,139,147.5,2.9741157761926047,4.745058752435028,-2.0009058902178367,3.7823333740234375,12.441541658502047,3.8595872643138023,6.1,-1.75,-0.35000000000000003,3,1566.7999363467368,1496.1447293186152,197.79387246392412,1631.230036318721,1433.4361638547969,75.36537273756345,72.32616892093858
