rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,line_move_spread,line_move_pts,n_snapshots,elo_diff_04,market_spread_home
1,2026-03-17,401858193,South Alabama Jaguars,Auburn Tigers,Auburn Tigers -17.5,South Alabama Jaguars +17.5,Auburn Tigers -2,-5.5,8,2.5,2,-23,-9.5,-15,-15.5,2.8,1.5,0.6,0,15.5,20.5,NA,0,NA,-24.310790243711608,-17.5
2,2026-03-17,401858339,Davidson Wildcats,Oklahoma State Cowboys,Oklahoma State Cowboys -8.5,Davidson Wildcats +8.5,Davidson Wildcats -6,-10,-8,-3,-6,-18.5,-16.5,-11.5,-14.5,2.8,1.5,0.6,0,14.5,19.4,NA,0,NA,-50.57644420186784,-8.5
3,2026-03-17,401858194,St. Thomas-Minnesota Tommies,Seattle U Redhawks,Seattle U Redhawks -2.5,St. Thomas-Minnesota Tommies +2.5,St. Thomas-Minnesota Tommies -7.5,-12,-2,-8,-7.5,-14.5,-4.5,-10.5,-10,2.8,1.5,0.6,0,10,15,NA,0,NA,-160.26359573360787,-2.5
4,2026-03-17,401858340,UNC Wilmington Seahawks,Yale Bulldogs,Yale Bulldogs -5,UNC Wilmington Seahawks +5,UNC Wilmington Seahawks -1,-3,1.5,-1,-1,-8,-3.5,-6,-6,2.8,1.5,0.6,0,6,10.8,NA,0,NA,17.047023648999357,-5
5,2026-03-17,401858195,Liberty Flames,George Mason Patriots,George Mason Patriots -5,Liberty Flames +5,George Mason Patriots -5,-8.5,1.5,13,5,-13.5,-4,8,-0.5,1,0,0.6,1.6,0.5,8.4,NA,0,NA,-38.786415596192455,-5.25
6,2026-03-17,401858197,UNLV Rebels,UC Irvine Anteaters,UC Irvine Anteaters -3,UC Irvine Anteaters -3,UC Irvine Anteaters -7.5,-2,16.5,7,7.5,-4.5,14,4.5,4.5,0.8,0,0.6,0.9,4.5,7.3,NA,0,NA,155.73418760218897,-2.75
7,2026-03-17,401858196,Stephen F. Austin Lumberjacks,Tulsa Golden Hurricane,Tulsa Golden Hurricane -7.5,Stephen F. Austin Lumberjacks +7.5,Tulsa Golden Hurricane -3.5,-5.5,1,9,3.5,-13,-6.5,1.5,-4,1,0,0.6,0,4,7.1,NA,0,NA,-7.066043932364437,-7.5
8,2026-03-17,401858338,Wyoming Cowboys,Wichita State Shockers,Wichita State Shockers -6.5,Wichita State Shockers -6.5,Wichita State Shockers -8.5,-2.5,21,7.5,8.5,-9,14.5,1,2,0.8,0,0.6,1.8,2,5.8,NA,0,NA,127.0002092186594,-6.5
9,2026-03-17,401856434,Texas Longhorns,NC State Wolfpack,NC State Wolfpack -1,Texas Longhorns +1,Texas Longhorns 0,-6,9.5,-1.5,-0,-7,8.5,-2.5,-1,1,0,0.6,1.7,1,5.1,NA,0,NA,33.51672458950725,-1
10,2026-03-17,401856435,UMBC Retrievers,Howard Bison,Howard Bison +1,Howard Bison +1,UMBC Retrievers 0,-6.5,2,2,-0,-5.5,3,3,1,0.8,0,0.6,1.1,1,3.9,NA,0,NA,-25.999752075304514,1
