rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,line_move_spread,line_move_pts,n_snapshots,elo_diff_04,market_spread_home
1,2026-03-11,401851294,Oklahoma State Cowboys,TCU Horned Frogs,TCU Horned Frogs -4.5,TCU Horned Frogs -4.5,TCU Horned Frogs -21.5,2,31,27,21.5,-2.5,26.5,22.5,17,0.8,0,0.6,0,17,19.7,NA,0,NA,164.02375979715976,-4.5
2,2026-03-11,401851472,Delaware State Hornets,Morgan State Bears,Morgan State Bears -3,Morgan State Bears -3,Morgan State Bears -17.5,5,29.5,18,17.5,2,26.5,15,14.5,2.8,1.5,0.6,0,14.5,19.5,NA,0,NA,239.59124210347727,-3
3,2026-03-11,401851560,South Carolina Gamecocks,Oklahoma Sooners,Oklahoma Sooners -7.5,Oklahoma Sooners -7.5,Oklahoma Sooners -22,6.5,35.5,23,22,-1,28,15.5,14.5,0.8,0,0.6,0,14.5,16.6,-1,0.2,3,160.54235318425413,-7.5
4,2026-03-11,401851721,Jackson State Tigers,Florida A&M Rattlers,Florida A&M Rattlers -4,Florida A&M Rattlers -4,Florida A&M Rattlers -14,-2,20,19,14,-6.5,16,14.5,9.5,0.8,0,0.6,1.3,9.5,12.9,NA,0,NA,122.5160994669718,-4.25
5,2026-03-11,401851365,Maryland Terrapins,Iowa Hawkeyes,Iowa Hawkeyes -12,Iowa Hawkeyes -12,Iowa Hawkeyes -20,1,43.5,17.5,20,-10.5,32,6,8.5,0.8,0,0.6,2.1,8.5,12.8,NA,0,NA,219.4360417068324,-11.75
6,2026-03-11,401851559,Ole Miss Rebels,Texas Longhorns,Texas Longhorns -6,Texas Longhorns -6,Texas Longhorns -14,8.5,27.5,9.5,14,2.5,21.5,3.5,8,2.8,1.5,0.6,0,8,12.8,-0.5,0.1,3,288.9133556314853,-6
7,2026-03-11,401851174,SMU Mustangs,Louisville Cardinals,Louisville Cardinals -6.5,Louisville Cardinals -6.5,Louisville Cardinals -16,-0,27,18,16,-6.5,20.5,11.5,9.5,0.8,0,0.6,1.3,9.5,12.7,NA,0,NA,144.7079235894821,-6.5
8,2026-03-11,401851557,LSU Tigers,Kentucky Wildcats,Kentucky Wildcats -8,Kentucky Wildcats -8,Kentucky Wildcats -17.5,4,28,19,17.5,-4,19.5,11,9.5,0.8,0,0.6,0.8,9.5,12.3,-1.75,0.35000000000000003,3,229.3354699624481,-8.25
9,2026-03-11,401851173,Pittsburgh Panthers,NC State Wolfpack,NC State Wolfpack -8.5,Pittsburgh Panthers +8.5,NC State Wolfpack 0,2,16,-8.5,0,-6.5,7.5,-17,-8.5,1,0,0.6,1.5,8.5,12.2,NA,0,NA,205.02069566110256,-8.5
10,2026-03-11,401851497,Fresno State Bulldogs,Colorado State Rams,Colorado State Rams -7,Colorado State Rams -7,Colorado State Rams -15.5,1,26,17.5,15.5,-6,19,10.5,8.5,0.8,0,0.6,1.2,8.5,11.7,NA,0,NA,186.1209184097429,-7
11,2026-03-11,401851289,Arizona State Sun Devils,Iowa State Cyclones,Iowa State Cyclones -11.5,Arizona State Sun Devils +11.5,Iowa State Cyclones -9.5,0.5,31,3,9.5,-11,19.5,-8.5,-2,1,0,0.6,2.5,2,11.2,NA,0,NA,169.8635926205518,-11.5
12,2026-03-11,401851293,BYU Cougars,West Virginia Mountaineers,West Virginia Mountaineers +4.5,West Virginia Mountaineers +4.5,West Virginia Mountaineers -3.5,-7,13.5,4.5,3.5,-2.5,18,9,8,0.8,0,0.6,0,8,10.9,NA,0,NA,-32.02074088503991,4.5
13,2026-03-11,401851367,USC Trojans,Washington Huskies,Washington Huskies -5.5,Washington Huskies -5.5,Washington Huskies -12.5,-1,21,15,12.5,-6.5,15.5,9.5,7,0.8,0,0.6,1.3,7,10.4,NA,0,NA,51.55268749702009,-5.5
14,2026-03-11,401851392,UC Santa Barbara Gauchos,UC Davis Aggies,UC Davis Aggies +5.5,UC Davis Aggies +5.5,UC Davis Aggies -1.5,-7.5,5.5,4,1.5,-2,11,9.5,7,0.8,0,0.6,0,7,9.3,NA,0,NA,-39.617102933415254,5.5
15,2026-03-11,401851309,Xavier Musketeers,Marquette Golden Eagles,Marquette Golden Eagles -4,Marquette Golden Eagles -4,Marquette Golden Eagles -9.5,-2.5,6,16.5,9.5,-6.5,2,12.5,5,0.8,0,0.6,1.3,5,8.5,-0.75,0.15000000000000002,3,65.77098234910477,-4.25
16,2026-03-11,401851336,Idaho Vandals,Montana Grizzlies,Montana Grizzlies +2,Idaho Vandals -2,Idaho Vandals -7.5,-9.5,2.5,-11.5,-7.5,-7.5,4.5,-9.5,-5.5,1,0,0.6,0.9,5.5,8.4,NA,0,NA,-66.03037923015427,2
17,2026-03-11,401851370,Rutgers Scarlet Knights,Minnesota Golden Gophers,Minnesota Golden Gophers -5,Minnesota Golden Gophers -5,Minnesota Golden Gophers -6.5,-2,25.5,2,6.5,-7,20.5,-3,1.5,1,0,0,1.4,1.5,8,NA,0,NA,98.12559338243592,-5
18,2026-03-11,401851498,San José State Spartans,Boise State Broncos,Boise State Broncos -15.5,Boise State Broncos -15.5,Boise State Broncos -19,7,14,27.5,19,-8.5,-1.5,12,3.5,1,0,0,1.7,3.5,7.8,NA,0,NA,416.2338101044472,-15.5
19,2026-03-11,401851558,Mississippi State Bulldogs,Auburn Tigers,Auburn Tigers -7.5,Auburn Tigers -7.5,Auburn Tigers -12,3,15,15.5,12,-4.5,7.5,8,4.5,0.8,0,0.6,0.9,4.5,7.4,0,0,3,88.97977515973139,-7.5
20,2026-03-11,401851310,Georgetown Hoyas,DePaul Blue Demons,DePaul Blue Demons -1.5,Georgetown Hoyas +1.5,Georgetown Hoyas -1,-4.5,-1,0.5,-1,-6,-2.5,-1,-2.5,2.8,1.5,0.6,0,2.5,7.3,0,0,3,28.926871112393655,-1.5
21,2026-03-11,401851407,Missouri State Bears,Liberty Flames,Liberty Flames -5.5,Missouri State Bears +5.5,Liberty Flames 0,1.5,5.5,-3.5,0,-4,0,-9,-5.5,1,0,0.6,0,5.5,7.1,NA,0,NA,186.01045099747216,-5.5
