rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
46,2026-03-11,401851260,Richmond Spiders,home,74.5,UNDER,71,71,71.5,-3.624000951555786,-3.395651650609409,3.5,1470.224394472278,1408.639713480648,145.546951797367
47,2026-03-11,401851370,Rutgers Scarlet Knights,away,65,OVER,68,70,72,2.735485391324829,4.5903004538014045,3.5,1464.5204317023313,1507.3882514518943,98.12559338243592
48,2026-03-11,401851258,St. Bonaventure Bonnies,away,75.5,UNDER,72.5,79.5,73.5,-3.015367089458209,3.9121017755955165,3.4,1490.573234510493,1424.1370024212931,-101.88852889910164
49,2026-03-11,401851309,Marquette Golden Eagles,home,79,UNDER,73.5,79.5,72.5,-5.423397200330882,0.24805359116572845,3.4,1465.425844709652,1484.3329282583582,65.77098234910477
50,2026-03-11,401851407,Liberty Flames,home,74.5,UNDER,71.5,77.5,76.5,-3.177894367650808,3.1198774315670335,3.2,1613.5454236785226,1480.8412354528366,186.01045099747216
51,2026-03-11,401851498,Boise State Broncos,home,80.5,UNDER,76,79,80.5,-4.584077190184715,-1.1693125692465287,3.2,1586.0122523829052,1387.6441001695327,416.2338101044472
52,2026-03-11,401851718,Prairie View A&M Panthers,away,72,OVER,73,78,74,1.281060551082561,6.056925411755628,3.2,1475.207475184012,1524.1905952495358,103.7327242484182
53,2026-03-11,401851173,Pittsburgh Panthers,away,68,UNDER,63,68.5,73,-4.766306399997589,0.7145606043594057,3.1,1458.1682356663025,1557.8505124777023,205.02069566110256
54,2026-03-11,401851174,SMU Mustangs,away,78,UNDER,73,78,71,-5.054415262711615,0.08667298142995605,3.1,1536.8097716570223,1601.5683396392217,144.7079235894821
55,2026-03-11,401851222,Florida Atlantic Owls,home,73,OVER,76,76.5,74.5,2.7698656583856263,3.4895367831992417,3.1,1515.3209366016429,1500.4270489479609,55.96896727326998
56,2026-03-11,401851733,Abilene Christian Wildcats,home,68,UNDER,65.5,72,72,-2.012772475964141,4.285451568833253,2.9,1470.2468306407857,1464.8553265790931,13.341202116967906
57,2026-03-11,401851176,Clemson Tigers,home,73,OVER,76,71,75,2.6928991118803225,-2.491737885015908,2.6,1594.5244669453518,1526.1473196181728,123.85996224391032
58,2026-03-11,401851308,Providence Friars,away,81.5,UNDER,78,90,75,-3.594206025071699,8.439029168387023,2.6,1503.7799268999488,1501.4706151524397,-46.769672740914984
59,2026-03-11,401851369,Northwestern Wildcats,away,68,UNDER,64,67,72.5,-3.7068923027299405,-0.9617546263681049,2.6,1487.562484677753,1527.558007855201,69.65687085067884
60,2026-03-11,401851718,Bethune-Cookman Wildcats,home,77.5,OVER,78,83.5,75,0.4338970637924007,5.705172311662551,2.5,1524.1905952495358,1475.207475184012,103.7327242484182
61,2026-03-11,401851560,South Carolina Gamecocks,away,70.5,UNDER,67,77,72,-3.3789685181571087,6.231803941204518,2.3,1469.6886689908704,1529.1703051181405,160.54235318425413
62,2026-03-11,401851289,Arizona State Sun Devils,away,68.5,OVER,72.5,68.5,72.5,3.6464355929088157,0.06127616198399721,2.2,1525.7965466800629,1626.0637186496422,169.8635926205518
63,2026-03-11,401851496,Air Force Falcons,away,60,UNDER,57.5,62,68,-2.100231831775247,2.466604628248753,2.2,1323.4984177464034,1564.7528531163557,467.6019907567181
64,2026-03-11,401851549,Boston University Terriers,away,70,UNDER,67.5,78,75,-2.5358589825565616,8.177957001881381,1.9,1525.847774174735,1506.8684107990302,-55.45110816643955
65,2026-03-11,401851365,Iowa Hawkeyes,home,73,OVER,75,71.5,78,1.951023133869512,-1.6482773896905911,1.8,1562.9231114413806,1450.8395751071453,219.4360417068324
66,2026-03-11,401851222,Temple Owls,away,72,OVER,72.5,68.5,73,0.5495389252451162,-3.203632973366041,1.6,1500.4270489479609,1515.3209366016429,55.96896727326998
67,2026-03-11,401851496,Nevada Wolf Pack,home,80,OVER,80.5,76.5,82,0.06993195956887632,-3.9352347325950774,1.6,1564.7528531163557,1323.4984177464034,467.6019907567181
68,2026-03-11,401851175,California Golden Bears,away,74,UNDER,72,73.5,74,-1.9949163434311288,-0.609997895324284,1.4,1564.970651214251,1544.3976091271877,33.07550800086119
69,2026-03-11,401851336,Idaho Vandals,away,74,UNDER,71.5,74,74,-2.089623046799389,0.39357498966276694,1.4,1540.987872153205,1520.7272572302877,-66.03037923015427
70,2026-03-11,401851258,La Salle Explorers,home,69,UNDER,68.5,67,69.5,-0.5386812262479594,-2.3601570685412696,1.3,1424.1370024212931,1490.573234510493,-101.88852889910164
71,2026-03-11,401851407,Missouri State Bears,away,68.5,UNDER,67,77.5,71,-1.1683618646061547,9.366394117824115,1.2,1480.8412354528366,1613.5454236785226,186.01045099747216
72,2026-03-11,401851291,UCF Knights,home,73,UNDER,72,71,74.5,-0.5712232397727774,-1.7001621911685447,1,1570.491905127774,1544.3492447822705,-42.375505731073645
73,2026-03-11,401851308,Butler Bulldogs,home,80,OVER,81,79.5,74,0.8144036556215042,-0.27074504983139036,0.6,1501.4706151524397,1503.7799268999488,-46.769672740914984
74,2026-03-11,401851721,Jackson State Tigers,away,69.5,UNDER,69.5,68.5,72,-0.1966091775500729,-1.2064501579089466,0.6,1470.6077384714663,1503.1046710741475,122.5160994669718
75,2026-03-11,401851294,Oklahoma State Cowboys,away,76,OVER,76.5,76.5,72.5,0.4887877179506006,0.4747925780259834,0.5,1525.6207288909147,1593.8078470178634,164.02375979715976
76,2026-03-11,401851558,Auburn Tigers,home,83,OVER,83.5,83.5,75.5,0.07459895166685726,0.4542876781752767,0.2,1506.1786081681862,1461.841959902589,88.97977515973139
