run_time,game_id,away_team,home_team,market_total,market_spread_home
2026-03-10T01:41:10,401851762,Santa Clara Broncos,Gonzaga Bulldogs,163.5,-6.5
2026-03-10T01:41:10,401851282,Baylor Bears,Arizona State Sun Devils,154,3.5
2026-03-10T01:41:10,401851716,Alcorn State Braves,Prairie View A&M Panthers,146,-7
2026-03-10T01:41:10,401851170,Pittsburgh Panthers,Stanford Cardinal,139,-5.5
2026-03-10T01:41:10,401851283,Utah Utes,Cincinnati Bearcats,138.75,-11.5
2026-03-10T01:41:10,401851171,Syracuse Orange,SMU Mustangs,156,-5
2026-03-10T01:41:10,401851362,Maryland Terrapins,Oregon Ducks,138.75,-3.5
2026-03-10T01:41:10,401851202,UMass Lowell River Hawks,UMBC Retrievers,147,-7.5
2026-03-10T01:41:10,401851405,Missouri State Bears,Florida International Panthers,153,1
2026-03-10T01:41:10,401856433,Monmouth Hawks,Hofstra Pride,136.75,-5.5
2026-03-10T01:41:10,401851611,Texas A&M-Corpus Christi Islanders,Stephen F. Austin Lumberjacks,136,-6.5
2026-03-10T01:41:10,401851521,Mercyhurst Lakers,Long Island University Sharks,137,-6.5
2026-03-10T01:41:10,401851434,Detroit Mercy Titans,Wright State Raiders,153.5,-3.5
2026-03-10T01:41:10,401851285,Kansas State Wildcats,BYU Cougars,166,-10.5
2026-03-10T01:41:10,401851204,NJIT Highlanders,Vermont Catamounts,137,-12
2026-03-10T01:41:10,401851172,Wake Forest Demon Deacons,Virginia Tech Hokies,151,-2.5
2026-03-10T01:41:10,401851363,Penn State Nittany Lions,Northwestern Wildcats,144.5,-6.5
2026-03-10T01:41:10,401851717,Grambling Tigers,Jackson State Tigers,144,6
2026-03-10T01:41:10,401851467,Siena Saints,Merrimack Warriors,127.25,-3.5
2026-03-10T01:41:10,401851406,New Mexico State Aggies,Jacksonville State Gamecocks,140.75,1.5
2026-03-10T01:41:10,401851334,Montana Grizzlies,Portland State Vikings,142.5,-2.5
2026-03-10T01:41:10,401851612,UT Rio Grande Valley Vaqueros,McNeese Cowboys,143,-7.5
2026-03-10T01:41:10,401851287,Oklahoma State Cowboys,Colorado Buffaloes,163.25,-1.5
2026-03-10T01:41:10,401851335,Idaho Vandals,Eastern Washington Eagles,154,-1.5
