rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-09,401851332,Montana Grizzlies,home,74.5,OVER,83.5,71,73,9.163660483796079,-3.6201479622186525,6.9,1498.014393383142,1552.803692632195,-150.9028175410515
2,2026-03-09,401851706,Troy Trojans,home,78,UNDER,72,83,76.5,-6.118583922987554,4.9947573729660775,5.7,1557.1133783302944,1515.7509462418225,75.57036890573227
3,2026-03-09,401856432,Towson Tigers,away,64,OVER,71.5,61,73.5,7.223832173871543,-3.2720956572848365,5.6,1540.0058107089417,1586.6280828286942,111.1288197345084
4,2026-03-09,401851714,Alcorn State Braves,away,67.5,OVER,73.5,72.5,70,5.965968307781225,4.708977441223723,5.5,1416.7438397931128,1421.3747326548353,68.973001158648
5,2026-03-09,401851715,Grambling Tigers,home,74,OVER,81,77,78.5,6.567383666557291,2.8198438224937803,5.1,1449.7326985888071,1323.4074544816629,277.3953584187034
6,2026-03-09,401851607,New Orleans Privateers,away,71.5,OVER,72.5,82,74,0.8197044824115522,10.454438249333194,4.7,1504.732589542225,1532.3770593665283,46.916869628060795
7,2026-03-09,401856431,Monmouth Hawks,home,77.5,UNDER,73,83,74,-4.259622438150302,5.3790628273045655,4.7,1533.8325232199948,1504.663572284423,47.2030227707985
8,2026-03-09,401851593,Furman Paladins,away,69,OVER,73.5,73.5,75,4.531904554290065,4.7599804373907375,4.6,1573.2624719997516,1571.1221540446556,28.93258762969731
9,2026-03-09,401851759,Gonzaga Bulldogs,home,81.5,OVER,86.5,77.5,82,4.959039544883055,-3.6942182036702746,4.5,1672.7192586374836,1497.285134168978,353.16992434088843
10,2026-03-09,401851432,Wright State Raiders,home,79,OVER,80.5,87,76.5,1.8032776218586832,7.955036855509562,4.3,1583.2180329186106,1561.4813036668818,17.838985203096627
11,2026-03-09,401851432,Northern Kentucky Norse,away,77.5,UNDER,72.5,80,76.5,-5.06163880803912,2.4248659940140556,4,1561.4813036668818,1583.2180329186106,17.838985203096627
12,2026-03-09,401851608,Nicholls Colonels,away,69,UNDER,65,71.5,73.5,-3.55239612298179,2.532546203938111,3.1,1486.7444861346971,1550.9368696366514,206.64210998773592
13,2026-03-09,401851715,Mississippi Valley State Delta Devils,away,62,UNDER,59.5,57.5,70.5,-2.0101752864154605,-4.271169162052068,2.9,1323.4074544816629,1449.7326985888071,277.3953584187034
14,2026-03-09,401851760,Saint Mary's Gaels,home,77,UNDER,76.5,70.5,76,-0.3811722600421632,-6.451220842525714,2.8,1675.3254161569207,1623.6321712042595,103.80833524135733
15,2026-03-09,401851593,East Tennessee State Buccaneers,home,70,OVER,71.5,73.5,75.5,1.5587432051841859,3.9281627789349898,2.5,1571.1221540446556,1573.2624719997516,28.93258762969731
16,2026-03-09,401851332,Northern Colorado Bears,away,78,OVER,80.5,80,77,2.49947685006822,2.048972858579475,2.3,1552.803692632195,1498.014393383142,-150.9028175410515
17,2026-03-09,401856431,Campbell Fighting Camels,away,75.5,UNDER,75.5,81,73.5,-0.1225797572416667,5.131142634715417,2.1,1504.663572284423,1533.8325232199948,47.2030227707985
18,2026-03-09,401851607,Texas A&M-Corpus Christi Islanders,home,73.5,OVER,74,77.5,74.5,0.5641613109306007,3.7927913177327355,1.9,1532.3770593665283,1504.732589542225,46.916869628060795
19,2026-03-09,401851608,UT Rio Grande Valley Vaqueros,home,75,UNDER,73,86,77,-2.265884148863904,10.632533349876027,1.9,1550.9368696366514,1486.7444861346971,206.64210998773592
20,2026-03-09,401856432,Hofstra Pride,home,67.5,OVER,69.5,69.5,76.5,1.7141371632041285,2.037026527042215,1.8,1586.6280828286942,1540.0058107089417,111.1288197345084
21,2026-03-09,401851433,Robert Morris Colonials,home,76,UNDER,74.5,75,77.5,-1.8177848545442998,-1.2769790324737613,1.6,1582.7761798670658,1535.1409825145329,116.6552940521242
22,2026-03-09,401851333,Weber State Wildcats,away,75.5,OVER,77,77.5,75,1.4268683068390686,1.7214839294775288,1.5,1510.7327692319932,1504.5295167831405,54.08028052448845
23,2026-03-09,401851433,Detroit Mercy Titans,away,71,OVER,73,70.5,74.5,2.3295373151803744,-0.28489448630392644,1.5,1535.1409825145329,1582.7761798670658,116.6552940521242
24,2026-03-09,401851333,Eastern Washington Eagles,home,78.5,UNDER,77,80,75,-1.416263192860768,1.467552119989719,1.4,1504.5295167831405,1510.7327692319932,54.08028052448845
25,2026-03-09,401851706,Georgia Southern Eagles,away,72,UNDER,71,86,74.5,-0.8924893274881782,14.081531090997075,1.2,1515.7509462418225,1557.1133783302944,75.57036890573227
26,2026-03-09,401851760,Santa Clara Broncos,away,72.5,UNDER,72,70.5,76,-0.2343233653945731,-1.7763755403552608,0.9,1623.6321712042595,1675.3254161569207,103.80833524135733
27,2026-03-09,401851714,Alabama State Hornets,home,74.5,UNDER,74,81,72,-0.45742220093474373,6.503900774902988,0.6,1421.3747326548353,1416.7438397931128,68.973001158648
28,2026-03-09,401851759,Oregon State Beavers,away,62.5,OVER,62.5,62.5,72.5,0.23912440825154135,0.20298787038669985,0.2,1497.285134168978,1672.7192586374836,353.16992434088843
