run_time,game_id,away_team,home_team,market_total,market_spread_home
2026-03-10T10:56:26,401851557,LSU Tigers,Kentucky Wildcats,152.5,-6.5
2026-03-10T10:56:26,401851558,Mississippi State Bulldogs,Auburn Tigers,159.5,-7.5
2026-03-10T10:56:26,401851308,Providence Friars,Butler Bulldogs,166,1.5
2026-03-10T10:56:26,401851309,Xavier Musketeers,Marquette Golden Eagles,154,-3.5
2026-03-10T10:56:26,401851559,Ole Miss Rebels,Texas Longhorns,150,-5.5
2026-03-10T10:56:26,401851549,Boston University Terriers,Lehigh Mountain Hawks,141,1.5
2026-03-10T10:56:26,401851310,Georgetown Hoyas,DePaul Blue Demons,137.5,-1.5
2026-03-10T10:56:26,401851560,South Carolina Gamecocks,Oklahoma Sooners,149,-6.5
