rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,line_move_spread,line_move_pts,n_snapshots,elo_diff_04,market_spread_home
1,2026-03-21,401856536,High Point Panthers,Arkansas Razorbacks,Arkansas Razorbacks -11,High Point Panthers +11,Arkansas Razorbacks -0.5,-5,1.5,2.5,0.5,-16,-9.5,-8.5,-10.5,2.8,1.5,0.6,0,10.5,15.6,NA,0,NA,-35.64425716884739,-11
2,2026-03-21,401856531,Louisville Cardinals,Michigan State Spartans,Michigan State Spartans -4.5,Louisville Cardinals +4.5,Louisville Cardinals -2,-3.5,-3.5,-0.5,-2,-8,-8,-5,-6.5,2.8,1.5,0.6,0,6.5,11.2,NA,0,NA,14.984615039555363,-4.5
3,2026-03-21,401856537,Texas Longhorns,Gonzaga Bulldogs,Gonzaga Bulldogs -5.5,Gonzaga Bulldogs -5.5,Gonzaga Bulldogs -12.5,-1.5,10,21,12.5,-7,4.5,15.5,7,0.8,0,0.6,1.4,7,10.6,NA,0,NA,228.90284896652472,-5.5
4,2026-03-21,401856533,VCU Rams,Illinois Fighting Illini,Illinois Fighting Illini -10.5,VCU Rams +10.5,Illinois Fighting Illini -5,0.5,4,7.5,5,-10,-6.5,-3,-5.5,2.8,1.5,0.6,0,5.5,10.5,NA,0,NA,33.469444015833005,-10.5
5,2026-03-21,401858349,Liberty Flames,Nevada Wolf Pack,Nevada Wolf Pack -7.5,Liberty Flames +7.5,Nevada Wolf Pack -7.5,-10,8,15.5,7.5,-17.5,0.5,8,-0,0.8,0,0,1.6,0,7.7,NA,0,NA,-31.280319532649628,-7.5
6,2026-03-21,401856535,Texas A&M Aggies,Houston Cougars,Houston Cougars -9.5,Texas A&M Aggies +9.5,Houston Cougars -9,-2.5,7.5,16,9,-12,-2,6.5,-0.5,1,0,0.6,1.3,0.5,7,NA,0,NA,190.5055477428882,-9.5
7,2026-03-21,401856532,Saint Louis Billikens,Michigan Wolverines,Michigan Wolverines -12.5,Saint Louis Billikens +12.5,Michigan Wolverines -12,3.5,9,18,12,-9,-3.5,5.5,-0.5,1,0,0.6,1.1,0.5,6.5,NA,0,NA,234.380124973894,-12.5
8,2026-03-21,401858350,Dayton Flyers,UNC Wilmington Seahawks,UNC Wilmington Seahawks +2.5,UNC Wilmington Seahawks +2.5,UNC Wilmington Seahawks -0.5,-3,3,0.5,0.5,-0.5,5.5,3,3,0.8,0,0.6,0,3,4.5,NA,0,NA,2.3851422806010305,2.5
9,2026-03-21,401856534,Vanderbilt Commodores,Nebraska Cornhuskers,Nebraska Cornhuskers +2.5,Nebraska Cornhuskers +2.5,Vanderbilt Commodores -2,-8.5,2.5,-1,-2,-6,5,1.5,0.5,0.8,0,0.6,1.2,0.5,3.7,NA,0,NA,-107.80332565436402,2.5
10,2026-03-21,401856530,TCU Horned Frogs,Duke Blue Devils,Duke Blue Devils -11,TCU Horned Frogs +11,Duke Blue Devils -9,5,11.5,10,9,-6,0.5,-1,-2,1,0,0.6,0,2,3.6,NA,0,NA,298.23103531821334,-11
