rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-19,401856493,Idaho Vandals,away,56.5,OVER,63.5,69.5,71,7.204765723020749,12.913913615661727,9.5,1552.126701646016,1650.5624192431092,192.3873056797595
2,2026-03-19,401856478,Siena Saints,away,54,OVER,58,69.5,70.5,4.22369651638828,15.905012688277651,8.9,1595.4804613992628,1723.4132233675853,314.4263898197851
3,2026-03-19,401856491,Illinois Fighting Illini,home,87.5,UNDER,80,78.5,77,-7.65935691655379,-8.817163962440446,8.1,1654.294006921349,1548.172308805065,218.42581252881791
4,2026-03-19,401856491,Pennsylvania Quakers,away,63,OVER,69.5,67.5,71,6.470382262963781,4.547446291858591,5.7,1548.172308805065,1654.294006921349,218.42581252881791
5,2026-03-19,401856485,Kennesaw State Owls,away,67,UNDER,59,77.5,70,-7.969358960232427,10.81455179533478,5.3,1553.945140947437,1684.332608461831,235.9307842655528
6,2026-03-19,401856492,Texas A&M Aggies,away,72,OVER,72.5,85,71,0.21230576037936544,13.026697930086598,5.3,1571.8925477210262,1662.3701903081935,211.78572885695007
7,2026-03-19,401856481,Hawai'i Rainbow Warriors,away,72,UNDER,67.5,78,72.5,-4.745468473509405,5.728272311414955,5.1,1604.7031806829586,1611.969350245217,103.26980884313345
8,2026-03-19,401856482,South Florida Bulls,away,80,UNDER,73,78,75.5,-7.010005401131579,-2.167687371384517,5.1,1625.1239963132791,1600.2238158984337,-68.53776656930222
9,2026-03-19,401856489,Nebraska Cornhuskers,home,75,UNDER,73,66,73.5,-2.05759600193322,-9.299490449227335,5,1627.164171925493,1573.0928579163894,65.8024203986804
10,2026-03-19,401856479,TCU Horned Frogs,away,72,OVER,78,75,73.5,5.97962939199688,3.273220916427931,4.9,1591.8988614076131,1569.487296888456,-0.11509259914464565
11,2026-03-19,401856488,Vanderbilt Commodores,home,81,OVER,86,76,70,4.910771021244855,-4.843945870471288,4.9,1622.8762890649916,1669.9684023859356,-28.747294404352033
12,2026-03-19,401856479,Ohio State Buckeyes,home,74.5,OVER,77,82.5,72.5,2.4304770892512835,8.066984023014555,4.7,1569.487296888456,1591.8988614076131,-0.11509259914464565
13,2026-03-19,401856493,Houston Cougars,home,80,OVER,85.5,76.5,76,5.761745118637563,-3.1274419736847676,4.7,1650.5624192431092,1552.126701646016,192.3873056797595
14,2026-03-19,401856487,Georgia Bulldogs,home,86,UNDER,85,75.5,73.5,-0.7898396063225306,-10.374286266136053,4.6,1594.2527728559824,1636.055405137643,-66.59101989408487
15,2026-03-19,401856487,Saint Louis Billikens,away,84,UNDER,77.5,81.5,74.5,-6.198418256059028,-2.1669211599815554,4.6,1636.055405137643,1594.2527728559824,-66.59101989408487
16,2026-03-19,401856490,VCU Rams,away,75.5,UNDER,70,76.5,73,-5.492240548405761,1.2405842085848775,3.8,1646.8762795983732,1614.891501861048,-81.70410088862536
17,2026-03-19,401856486,Howard Bison,away,60,UNDER,55.5,83,70,-4.0758419522792835,23.1888865446672,3.7,1589.862665163955,1714.8951384682548,295.99353964287525
18,2026-03-19,401856483,Michigan State Spartans,home,80,OVER,85,79,72,5.118100709790838,-0.9851275081190067,3.5,1615.031005820681,1632.913047233911,9.183962011040194
19,2026-03-19,401856482,Louisville Cardinals,home,85,UNDER,81.5,88,73.5,-3.5951739668412728,2.946807649244505,3.3,1600.2238158984337,1625.1239963132791,-68.53776656930222
20,2026-03-19,401856480,High Point Panthers,away,77,OVER,77.5,84.5,74,0.20510358499369374,7.2900161764991225,3,1662.7078052824224,1606.444356824383,-79.29948349093092
21,2026-03-19,401856489,Troy Trojans,away,62,OVER,66,54,71,3.7263866783436157,-8.49637441912244,2.7,1573.0928579163894,1627.164171925493,65.8024203986804
22,2026-03-19,401856492,Saint Mary's Gaels,home,75,UNDER,71.5,75.5,74.5,-3.840792879131868,0.18196721183545606,2.4,1662.3701903081935,1571.8925477210262,211.78572885695007
23,2026-03-19,401856484,BYU Cougars,home,80.5,UNDER,77.5,90,75,-2.977669801486144,9.475064984496328,2.3,1578.9310519275332,1548.1590649074355,45.397404279243574
24,2026-03-19,401856483,North Dakota State Bison,away,64,OVER,64,68.5,72.5,0.4418207889738426,4.938099411375617,2.2,1632.913047233911,1615.031005820681,9.183962011040194
25,2026-03-19,401856478,Duke Blue Devils,home,82,OVER,84.5,69.5,76,2.517947382830357,-12.3566456853832,2.1,1723.4132233675853,1595.4804613992628,314.4263898197851
26,2026-03-19,401856481,Arkansas Razorbacks,home,88,UNDER,85,86.5,76,-2.6371076139156457,-1.2578386595324673,2.1,1611.969350245217,1604.7031806829586,103.26980884313345
27,2026-03-19,401856488,McNeese Cowboys,away,69.5,UNDER,66.5,76,72.5,-3.0357792142765447,6.477105758214762,2.1,1669.9684023859356,1622.8762890649916,-28.747294404352033
28,2026-03-19,401856485,Gonzaga Bulldogs,home,87.5,UNDER,84.5,86.5,77,-2.6545910084699784,-1.0033255188366468,2,1684.332608461831,1553.945140947437,235.9307842655528
29,2026-03-19,401856480,Wisconsin Badgers,home,87,UNDER,85,85.5,71.5,-2.008502675276489,-1.5479892797378483,1.8,1606.444356824383,1662.7078052824224,-79.29948349093092
30,2026-03-19,401856484,Texas Longhorns,away,78.5,UNDER,78.5,82.5,73,-0.07401860305209595,4.067114329943493,1.7,1548.1590649074355,1578.9310519275332,45.397404279243574
31,2026-03-19,401856486,Michigan Wolverines,home,91,OVER,93,84.5,76.5,1.8915712600900179,-6.867121082879436,1.5,1714.8951384682548,1589.862665163955,295.99353964287525
32,2026-03-19,401856490,North Carolina Tar Heels,home,78,UNDER,77.5,76,71.5,-0.6476924755604756,-2.064398230594577,1.2,1614.891501861048,1646.8762795983732,-81.70410088862536
