rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,elo_diff_04,market_spread_home
1,2026-03-08,401851602,Houston Christian Huskies,New Orleans Privateers,New Orleans Privateers -4.5,New Orleans Privateers -4.5,New Orleans Privateers -13,-2,13.5,20,13,-6.5,9,15.5,8.5,0.8,0,0.6,1.3,8.5,11.7,132.4538980375089,-4.5
2,2026-03-08,401851547,Colgate Raiders,Lehigh Mountain Hawks,Lehigh Mountain Hawks +1.5,Lehigh Mountain Hawks +1.5,Lehigh Mountain Hawks -6,-7.5,6,13,6,-6,7.5,14.5,7.5,0.8,0,0.6,1.2,7.5,10.9,-69.69177561560355,1.5
3,2026-03-08,401851431,Northern Kentucky Norse,Green Bay Phoenix,Green Bay Phoenix +2.5,Green Bay Phoenix +2.5,Green Bay Phoenix -5,-4.5,7.5,8,5,-2,10,10.5,7.5,0.8,0,0.6,0,7.5,9.6,-17.543368483301947,2.5
4,2026-03-08,401828262,East Carolina Pirates,UAB Blazers,UAB Blazers -10.5,East Carolina Pirates +10.5,UAB Blazers -5,0.5,17.5,1,5,-10,7,-9.5,-5.5,1,0,0.6,1.4,5.5,9.1,231.48403333699048,-10.5
5,2026-03-08,401828265,UTSA Roadrunners,Rice Owls,Rice Owls -11.5,UTSA Roadrunners +11.5,Rice Owls -7.5,3.5,9.5,8.5,7.5,-8,-2,-3,-4,2.8,1.5,0.6,0,4,8.9,214.5701221336465,-11.5
6,2026-03-08,401828266,Temple Owls,Tulsa Golden Hurricane,Tulsa Golden Hurricane -11.5,Tulsa Golden Hurricane -11.5,Tulsa Golden Hurricane -15.5,3.5,11,24,15.5,-8,-0.5,12.5,4,1,0,0,1.6,4,7.8,253.71429786796375,-11.5
7,2026-03-08,401825567,Illinois Fighting Illini,Maryland Terrapins,Maryland Terrapins +15.5,Illinois Fighting Illini -15.5,Illinois Fighting Illini -20,-23,-11,-23.5,-20,-7.5,4.5,-8,-4.5,1,0,0.6,0.9,4.5,7.7,-444.3882008128255,15.5
8,2026-03-08,401828263,Charlotte 49ers,South Florida Bulls,South Florida Bulls -16.5,South Florida Bulls -16.5,South Florida Bulls -17.5,5,12.5,26.5,17.5,-11.5,-4,10,1,1,0,0,2.3,1,7.5,356.49871669883123,-16.5
9,2026-03-08,401828264,Memphis Tigers,Tulane Green Wave,Tulane Green Wave +1,Tulane Green Wave +1,Tulane Green Wave -2,-5,8,3,2,-4,9,4,3,0.8,0,0.6,0,3,6.4,9.45659417981824,1
10,2026-03-08,401851548,Boston University Terriers,Navy Midshipmen,Navy Midshipmen -7,Navy Midshipmen -7,Navy Midshipmen -9.5,-0,9,14.5,9.5,-7,2,7.5,2.5,0.8,0,0.6,1.4,2.5,5.8,181.3183036911801,-7
11,2026-03-08,401825569,Iowa Hawkeyes,Nebraska Cornhuskers,Nebraska Cornhuskers -6.5,Iowa Hawkeyes +6.5,Nebraska Cornhuskers -6,-3,7,10.5,6,-9.5,0.5,4,-0.5,0.8,0,0,0,0.5,5.3,96.3792849363806,-6.5
12,2026-03-08,401825570,Penn State Nittany Lions,Rutgers Scarlet Knights,Rutgers Scarlet Knights -5.5,Rutgers Scarlet Knights -5.5,Rutgers Scarlet Knights -6,-3.5,12.5,7.5,6,-9,7,2,0.5,0.8,0,0.6,1.8,0.5,4.6,83.3785316627966,-5.5
13,2026-03-08,401825568,Michigan State Spartans,Michigan Wolverines,Michigan Wolverines -9.5,Michigan State Spartans +9.5,Michigan Wolverines -7,-0,8,9.5,7,-9.5,-1.5,0,-2.5,1,0,0.6,0,2.5,4.5,177.2126273661729,-9.5
14,2026-03-08,401851604,Northwestern State Demons,Nicholls Colonels,Nicholls Colonels -2.5,Nicholls Colonels -2.5,Nicholls Colonels -3.5,-3.5,10,4,3.5,-6,7.5,1.5,1,0.8,0,0.6,1.2,1,4.3,37.22209457241843,-2.5
