rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
1,2026-03-08,401851604,Northwestern State Demons,Nicholls Colonels,141,-2.5,UNDER,136.5,132.5,141,141,134.5,146.5,-4.560064106658501,-8.93065851155768,-0.02705447163862118,-0.434478759765625,5.113349792337857,-6.745361309108091,9.8,1479.5843987523954,1438.1269004978865,37.22209457241843,1439.3121648038184,1402.0900702314,74.13876655620713,72.22458323613073
2,2026-03-08,401825567,Illinois Fighting Illini,Maryland Terrapins,146.5,15.5,UNDER,140,143,139,143,141.5,150,-6.465797607115292,-3.7136037632957084,-7.621061757523307,-3.583465576171875,3.4985246904294627,-5.089700685205514,8.5,1444.4190060321314,1648.2115282972288,-444.3882008128255,1417.9957960103063,1862.383996823132,68.08992040305687,81.90860428737261
3,2026-03-08,401828264,Memphis Tigers,Tulane Green Wave,152,1,UNDER,150,144.5,142.5,137.5,147.5,149.5,-2.0889375875044323,-7.5872453928780885,-9.67650682795059,-14.933883666992188,-2.5167888451402973,-4.83809149019126,8.1,1517.132439736261,1465.7513475513135,9.45659417981824,1478.5880627135296,1469.1314685337113,74.65183812049251,75.08137303436718
4,2026-03-08,401825570,Penn State Nittany Lions,Rutgers Scarlet Knights,151,-5.5,UNDER,145,149,140,136.5,147,151,-5.7660054007173756,-1.9011922706352777,-10.639257246047123,-14.444549560546875,0.07307682934714421,-3.8335988356763266,7.3,1456.4761757640151,1447.63988389096,83.3785316627966,1443.185017682457,1359.8064860196607,75.10852004884006,75.71455678050708
5,2026-03-08,401828265,UTSA Roadrunners,Rice Owls,150,-11.5,OVER,153.5,156.5,142,135,155,144,3.5205586564440807,6.714225670530823,-7.824055722656823,-14.85693359375,-6.223813114780654,5.117392163487466,6.8,1469.309404142603,1365.1581161902538,214.5701221336465,1455.1170406960798,1240.5469185624331,73.72222228932823,70.05396459589112
6,2026-03-08,401851431,Northern Kentucky Norse,Green Bay Phoenix,146,2.5,OVER,150,149.5,146,143,149.5,152.5,4.236443512763373,3.5531152141223004,0.39628901637550484,-2.9199371337890625,6.92365844126067,3.8947793634428365,6.8,1536.3282151522712,1550.1602492245174,-17.543368483301947,1591.3054635852918,1608.8488320685938,75.64532217953813,77.02833626172256
7,2026-03-08,401828266,Temple Owls,Tulsa Golden Hurricane,153,-11.5,UNDER,149.5,158,150,140.5,154,152,-3.25797923462531,4.760126418681466,-3.124888311738914,-12.68927001953125,-1.008322591346598,0.7510735920280922,5.6,1623.6762388910884,1505.710261414004,253.71429786796375,1769.1105108126294,1515.3962129446656,79.24434678534716,72.74733062330623
8,2026-03-08,401825569,Iowa Hawkeyes,Nebraska Cornhuskers,134,-6.5,OVER,138,132,145,142.5,135,148.5,4.061382870362024,-1.8520315451365832,11.202151890952507,8.743927001953125,14.283049791092083,1.1046756626127205,5.2,1640.115335691866,1562.9231114413806,96.3792849363806,1769.0466202045457,1672.667335268165,76.30462755454403,71.97842223654804
9,2026-03-08,401828262,East Carolina Pirates,UAB Blazers,148.5,-10.5,UNDER,145.5,151,141.5,141,148,148.5,-3.2486484298558196,2.3268435476223317,-6.983891953889554,-7.25506591796875,0.02946540539122111,-0.46090244111672973,4.7,1552.1611464197642,1453.7073260806867,231.48403333699048,1643.7206736256012,1412.2366402886107,75.91155039886397,72.61791500652726
10,2026-03-08,401851547,Colgate Raiders,Lehigh Mountain Hawks,147,1.5,UNDER,144.5,150,142.5,133.5,147,150,-2.7197131602953846,3.124001235388107,-4.271337841129309,-13.512069702148438,2.968099845398939,0.20214403754636123,4.4,1497.7693487672432,1526.3824517649466,-69.69177561560355,1493.996315610372,1563.6880912259755,74.13164335148215,75.83645649391678
11,2026-03-08,401825568,Michigan State Spartans,Michigan Wolverines,150,-9.5,UNDER,145,156.5,152,138.5,151,146.5,-4.861452404333988,6.979485378447379,2.3875042751585056,-11.461685180664062,-3.328997435897463,1.059016487056681,4.2,1697.4988984916274,1634.5291278438613,177.2126273661729,1986.2979867503277,1809.0853593841548,76.8522846153846,69.56871794871795
12,2026-03-08,401851602,Houston Christian Huskies,New Orleans Privateers,142,-4.5,UNDER,137,142,158,136,139.5,150,-4.918868827642541,0.11261220281159012,15.975736778240218,-6.008544921875,7.98442150228513,-2.4031283124154754,3.8,1497.3580725332995,1463.9523047259136,132.4538980375089,1537.7078247797483,1405.2539267422396,76.01104760553345,73.97337389675168
13,2026-03-08,401828263,Charlotte 49ers,South Florida Bulls,153,-16.5,UNDER,152,160.5,150,139.5,156,151,-1.2346364398327978,7.490537722116329,-2.8243581995617433,-13.561874389648438,-2.1842015753209694,3.1279506411417515,3.1,1614.703950950588,1486.9265057665204,356.49871669883123,1815.3939158346925,1458.8951991358613,79.04599492288224,71.76980350179677
14,2026-03-08,401851548,Boston University Terriers,Navy Midshipmen,137.5,-7,UNDER,135,145,134,140.5,140,150.5,-2.4130146141584987,7.353076839962398,-3.3819778978557054,2.81072998046875,13.13047323356568,2.4700311129019497,2.9,1627.5811877983117,1511.1657590263,181.3183036911801,1742.2657069336594,1560.9474032424794,77.9867831966653,72.64369003690037
