rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,elo_diff_04,market_spread_home
19,2026-03-05,401828732,Howard Bison,Norfolk State Spartans,Norfolk State Spartans +5.5,Howard Bison -5.5,Howard Bison -12.5,-15.5,-2,-15.5,-12.5,-10,3.5,-10,-7,1,0,0.6,0,7,10.1,-134.3764319971915,5.5
20,2026-03-05,401828259,Tulane Green Wave,Temple Owls,Temple Owls -5,Tulane Green Wave +5,Temple Owls 0,2,-5,2,0,-3,-9.5,-3,-4.5,2.8,1.5,0.6,0,4.5,9.4,-0.22416689405008583,-4.75
21,2026-03-05,401805212,UT Arlington Mavericks,Tarleton State Texans,Tarleton State Texans -2.5,UT Arlington Mavericks +2.5,UT Arlington Mavericks -1.5,-1.5,-2,-1.5,-1.5,-4,-4.5,-4,-4,2.8,1.5,0.6,0,4,8.9,-88.8747771813712,-2.5
22,2026-03-05,401804962,Middle Tennessee Blue Raiders,Florida International Panthers,Florida International Panthers -1.5,Middle Tennessee Blue Raiders +1.5,Middle Tennessee Blue Raiders -3,-7.5,10,-7.5,-3,-9,8.5,-9,-4.5,1,0,0.6,1.7,4.5,8.8,-39.626034875782125,-1.5
23,2026-03-05,401851745,Pepperdine Waves,Portland Pilots,Portland Pilots -2.5,Pepperdine Waves +2.5,Pepperdine Waves -3.5,-6,4.5,-6,-3.5,-8.5,2,-8.5,-6,1,0,0.6,0,6,8.6,48.99398189177827,-2.5
24,2026-03-05,401851545,Loyola Maryland Greyhounds,Colgate Raiders,Colgate Raiders -7,Colgate Raiders -7,Colgate Raiders -10.5,7.5,19.5,7.5,10.5,0.5,12.5,0.5,3.5,2.8,1.5,0.6,0,3.5,8.5,153.0242369374282,-7
25,2026-03-05,401804960,Kennesaw State Owls,UTEP Miners,UTEP Miners +2,Kennesaw State Owls -2,Kennesaw State Owls -5.5,-4.5,-7.5,-4.5,-5.5,-2.5,-5.5,-2.5,-3.5,2.8,1.5,0.6,0,3.5,8.1,-172.49581969646192,2
26,2026-03-05,401828257,Tulsa Golden Hurricane,East Carolina Pirates,East Carolina Pirates +9.5,East Carolina Pirates +9.5,Tulsa Golden Hurricane -6.5,-6,-8,-6,-6.5,3.5,1.5,3.5,3,2.8,1.5,0.6,0,3,7.9,-302.0933791580612,9.5
27,2026-03-05,401804957,Sam Houston Bearkats,Delaware Blue Hens,Delaware Blue Hens +7,Sam Houston Bearkats -7,Sam Houston Bearkats -10.5,-11.5,-7.5,-11.5,-10.5,-4,-0,-4,-3,2.8,1.5,0.6,0,3,7.9,-281.40691807441544,7.25
28,2026-03-05,401828670,Mississippi Valley State Delta Devils,Jackson State Tigers,Jackson State Tigers -10.5,Mississippi Valley State Delta Devils +10.5,Jackson State Tigers -4.5,2.5,10.5,2.5,4.5,-8,0,-8,-6,1,0,0.6,0,6,7.7,223.2151067154589,-10.5
29,2026-03-05,401822780,Coppin State Eagles,Morgan State Bears,Morgan State Bears -6.5,Morgan State Bears -6.5,Morgan State Bears -6.5,1,23.5,1,6.5,-5.5,17,-5.5,0,1,0,0,2.3,0,7.2,157.45496146089113,-6.5
30,2026-03-05,401829290,South Carolina State Bulldogs,North Carolina Central Eagles,North Carolina Central Eagles -8.5,South Carolina State Bulldogs +8.5,North Carolina Central Eagles -6.5,6.5,6.5,6.5,6.5,-2,-2,-2,-2,2.8,1.5,0.6,0,2,6.8,103.68120937546246,-8.5
31,2026-03-05,401804959,Jacksonville State Gamecocks,New Mexico State Aggies,New Mexico State Aggies -6,New Mexico State Aggies -6,New Mexico State Aggies -8,8.5,6.5,8.5,8,2.5,0.5,2.5,2,2.8,1.5,0.6,0,2,6.8,36.5940915360145,-6
32,2026-03-05,401809151,UC Riverside Highlanders,Hawai'i Rainbow Warriors,Hawai'i Rainbow Warriors -11,UC Riverside Highlanders +11,Hawai'i Rainbow Warriors -6,4.5,11.5,4.5,6,-7,0.5,-7,-5,1,0,0.6,0,5,6.8,250.60077533141632,-11.25
33,2026-03-05,401851487,Evansville Purple Aces,Northern Iowa Panthers,Northern Iowa Panthers -15.5,Northern Iowa Panthers -15.5,Northern Iowa Panthers -19,21.5,12.5,21.5,19,6,-3,6,3.5,1,0,0.6,0,3.5,6.7,277.0390037203981,-15.5
34,2026-03-05,401827038,Southern Jaguars,Alabama A&M Bulldogs,Alabama A&M Bulldogs -1,Alabama A&M Bulldogs -1,Alabama A&M Bulldogs -2.5,2.5,3,2.5,2.5,1.5,1.5,1.5,1.5,2.8,1.5,0.6,0,1.5,6.3,28.435125068213665,-1.25
35,2026-03-05,401809103,UC San Diego Tritons,Cal State Fullerton Titans,Cal State Fullerton Titans +3.5,Cal State Fullerton Titans +3.5,UC San Diego Tritons -2,-2,-2.5,-2,-2,1.5,1,1.5,1.5,2.8,1.5,0.6,0,1.5,6.1,-56.267246540552605,3.5
36,2026-03-05,401805213,Utah Valley Wolverines,Southern Utah Thunderbirds,Southern Utah Thunderbirds +9,Southern Utah Thunderbirds +9,Utah Valley Wolverines -8.5,-8.5,-8.5,-8.5,-8.5,0.5,0.5,0.5,0.5,2.8,1.5,0.6,0,0.5,5.6,-309.648047340326,9
37,2026-03-05,401827126,Bethune-Cookman Wildcats,Florida A&M Rattlers,Florida A&M Rattlers +2.5,Florida A&M Rattlers +2.5,Florida A&M Rattlers -1,2,-2.5,2,1,4.5,-0,4.5,3.5,1,0,0.6,0,3.5,5.2,-98.81277805908394,2.5
38,2026-03-05,401809138,UC Davis Aggies,Long Beach State Beach,Long Beach State Beach +2,UC Davis Aggies -2,UC Davis Aggies -4,-5.5,0.5,-5.5,-4,-4,2,-4,-2.5,1,0,0.6,0,2.5,5,-196.89254926135004,1.75
39,2026-03-05,401805211,Abilene Christian Wildcats,California Baptist Lancers,California Baptist Lancers -9.5,Abilene Christian Wildcats +9.5,California Baptist Lancers -6.5,5.5,10,5.5,6.5,-4,0.5,-4,-3,1,0,0.6,0,3,4.9,145.6391720203087,-9.5
40,2026-03-05,401825561,Rutgers Scarlet Knights,Michigan State Spartans,Michigan State Spartans -19.5,Michigan State Spartans -19.5,Michigan State Spartans -20.5,22.5,14.5,22.5,20.5,3,-5,3,1,1,0,0.6,1,1,4,326.3829490496423,-19.5
41,2026-03-05,401825560,Michigan Wolverines,Iowa Hawkeyes,Iowa Hawkeyes +8.5,Michigan Wolverines -8.5,Michigan Wolverines -9,-10.5,-5,-10.5,-9,-2,3.5,-2,-0.5,1,0,0.6,0,0.5,3.9,-208.708016456613,8.5
42,2026-03-05,401851698,TBD,Southern Miss Golden Eagles,Southern Miss Golden Eagles NANA,NA NANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
43,2026-03-05,401851620,TBD,North Dakota State Bison,North Dakota State Bison NANA,NA NANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
44,2026-03-05,401851526,TBD,UT Martin Skyhawks,UT Martin Skyhawks NANA,NA NANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
45,2026-03-05,401851699,TBD,Arkansas State Red Wolves,Arkansas State Red Wolves NANA,NA NANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
46,2026-03-05,401851528,TBD,Southeast Missouri State Redhawks,Southeast Missouri State Redhawks NANA,NA NANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
