date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts,tempo_base,tempo_match,tempo_vol,tempo_gap,tempo_cv,ppp_sum_base,matchup_ppp_sum,matchup_gap,three_sum,ft_sum,tov_sum,home_ppp_l10,away_ppp_l10,home_pppA_l10,away_pppA_l10,home_eFG,away_eFG,home_TS,away_TS,home_oreb_pct,away_oreb_pct,home_poss_l10,away_poss_l10,close_game,blowout_game,margin_vol_game,home_rest,away_rest,rest_diff,rest_min,home_gp_before,away_gp_before,gp_min,gp_sum,home_resid5,home_resid10,home_resid_w5,home_venue_resid5,home_n_hist,away_resid5,away_resid10,away_resid_w5,away_venue_resid5,away_n_hist,away_score,home_score,actual_total,tempo_actual,ppp_sum_actual,base_error,abs_base_error,bet_result
2026-03-05,401851487,Evansville Purple Aces,Northern Iowa Panthers,127,-14.5,OVER,141,134.5,129.5,142.5,138,147,14.002778279730336,7.499436296528131,2.490134940927703,15.55816650390625,19.877423728367603,10.75110728812922,14.6,1543.7479484087444,1403.5878220409377,277.0390037203981,1624.5734234547383,1347.5344197343404,77.28442653000087,69.59299719836673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,68,127,62.7875,2.0235245622240368,,,P
2026-03-05,401851543,Bucknell Bison,Navy Midshipmen,133.5,-14.5,OVER,140,144,137,145,142,146,6.47355781259472,10.456227949985816,3.5815717323143303,11.571807861328123,12.337491589267302,8.464892881290268,11.8,1623.9526003755311,1422.2131754069076,390.1573563443287,1705.83236238497,1315.6750060406414,79.4043053147575,66.43318627450981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,74,143,62.675,2.281852028639618,,,W
2026-03-05,401823271,Cal State Northridge Matadors,Cal State Bakersfield Roadrunners,165.5,7.5,UNDER,159,160,162.5,132,159.5,148.5,-6.257195098104518,-5.5408021028191,-2.919141468340854,-33.70298767089844,-16.94541711503433,-5.898998600461823,9.4,1387.785371546475,1538.719721574353,-337.7904873313969,1283.7244904835013,1621.5149778148982,70.15502915090374,78.39955373406193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,84,170,79.5,2.1383498035480413,,,L
2026-03-05,401809103,UC San Diego Tritons,Cal State Fullerton Titans,156,3.5,UNDER,150.5,151,155,163,150.5,146.5,-5.768894698656055,-5.261922685581709,-1.368417962441811,6.683807373046875,-9.580278248265358,-5.515408692118882,8.4,1518.767075440851,1573.9227975124095,-56.267246540552605,1564.737689516851,1621.004936057404,72.36001617716947,74.30970557456516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,69,138,66.375,2.0790972249905337,,,W
2026-03-05,401809151,UC Riverside Highlanders,Hawai'i Rainbow Warriors,147,-11.5,OVER,151.5,154,154.5,144,153,145.5,4.4391139884992015,7.068932786896312,7.482702467239221,-3.0999755859375,-1.565931730113249,5.754023387697771,8.3,1597.298649761207,1429.7101034542386,250.60077533141632,1638.6330694778862,1388.03229414647,78.01718254877882,67.41688572110793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2026-03-05,401823056,Delaware State Hornets,Maryland Eastern Shore Hawks,125,-5.5,OVER,132.5,125.5,127,135,129,146.5,7.408177044345194,0.4864351447155144,1.9386289746559555,9.862030029296877,21.65555215311005,3.9473060945303473,7.8,1426.4447542217197,1361.249507130649,124.4393496947814,1387.4619524925092,1263.0226027977278,75.87454545454545,70.7810066985646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,56,113,59.4375,1.902372337058908,,,L
2026-03-05,401851546,Holy Cross Crusaders,Lehigh Mountain Hawks,142,-5.5,OVER,144.5,149.5,143,139,147,150,2.401026540717254,7.261945314799931,1.1997261898329157,-2.862396240234375,8.027748758357234,4.831485927758592,7.5,1491.3281747987555,1422.025351040255,141.6849147327364,1474.3509477427535,1332.6660330100171,76.9005594555874,73.12718930276982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,69,135,66.575,2.0287309050167384,,,L
2026-03-05,401851486,Indiana State Sycamores,Valparaiso Beacons,138,-3.5,OVER,141,142.5,142,141.5,141.5,147.5,2.9508734966261443,4.320055957776788,3.947155530736609,3.649139404296875,9.572638466457391,3.635464727201452,7.1,1521.645002510066,1438.3510714983113,171.72690346305603,1585.6897029949675,1413.9627995319115,76.04036305080804,71.53227541564935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,63,125,59.675,2.094772476134179,,,L
2026-03-05,401804962,Middle Tennessee Blue Raiders,Florida International Panthers,153.5,-1.5,UNDER,147,156.5,149.5,143.5,151.5,148.5,-6.725408162373782,2.804582111250113,-4.098263838590469,-10.242965698242188,-5.239346334448328,-1.96041302556182,7.1,1495.1513290383057,1521.7092111304498,-39.626034875782125,1490.4638939820547,1530.0899288578369,73.94796645574564,74.31268720980604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,67,140,68.8125,2.0342642153358472,,,W
2026-03-05,401851456,Manhattan Jaspers,Fairfield Stags,149,-5.5,UNDER,143,154.5,150,138,148.5,146,-5.8914017475927665,5.589480882087344,1.4235483461198442,-10.6424560546875,-2.787651766403286,-0.15096043275269722,7.1,1549.4283555352677,1462.5940746381073,188.6753218557681,1606.2102064392566,1417.5348845834883,75.45017132898249,70.51217690461422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,71,131,67.9125,1.9284647595300366,,,W
