rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-17,401858196,Tulsa Golden Hurricane,home,81,OVER,101.5,82.5,71.5,20.633094206338555,1.26150764351776,12.9,1634.8608500318926,1651.119505154443,-7.066043932364437
2,2026-03-17,401856435,Howard Bison,home,70,OVER,80,83.5,73.5,10.157873179956624,13.70567399549978,11.6,1584.6080141321145,1602.714217519159,-25.999752075304514
3,2026-03-17,401858339,Davidson Wildcats,away,74,UNDER,64,70,73.5,-9.896679930012098,-3.8022844763406027,7.5,1537.5465555398089,1519.1514774791174,-50.57644420186784
4,2026-03-17,401858193,Auburn Tigers,home,86,UNDER,82.5,73,74,-3.394197624302251,-12.869586255623503,7.2,1506.4260378327824,1550.653584303456,-24.310790243711608
5,2026-03-17,401858195,George Mason Patriots,home,75,UNDER,67,70,72.5,-7.647706543163807,-4.943594738252685,6.6,1572.0799626474463,1598.5054725401508,-38.786415596192455
6,2026-03-17,401858196,Stephen F. Austin Lumberjacks,away,73.5,UNDER,68.5,65.5,73.5,-5.193602960289269,-8.084579777661133,6.3,1651.119505154443,1634.8608500318926,-7.066043932364437
7,2026-03-17,401858338,Wyoming Cowboys,away,71,UNDER,64.5,64.5,73,-6.321241950500465,-6.175507647874099,6.3,1522.1888306446278,1572.5836927575424,127.0002092186594
8,2026-03-17,401858340,Yale Bulldogs,home,76,OVER,81.5,80.5,72,5.748501338751893,4.344781812611785,5.2,1610.9434304770164,1627.2736484065924,17.047023648999357
9,2026-03-17,401858194,Seattle U Redhawks,home,75,UNDER,72,66.5,71.5,-2.853179937258048,-8.022487105251088,4.9,1545.8671541600663,1591.576174149851,-160.26359573360787
10,2026-03-17,401858340,UNC Wilmington Seahawks,away,71,OVER,76.5,75,74,5.686932035805583,3.8006137425327893,4.9,1627.2736484065924,1610.9434304770164,17.047023648999357
11,2026-03-17,401856435,UMBC Retrievers,away,71,OVER,75,74,74.5,4.225652427033623,2.8943739933697543,3.7,1602.714217519159,1584.6080141321145,-25.999752075304514
12,2026-03-17,401858197,UNLV Rebels,away,75,UNDER,70,77,71.5,-4.680560195336156,1.8858006392267725,3.6,1499.9154194627756,1592.9934725002486,155.73418760218897
13,2026-03-17,401856434,Texas Longhorns,away,79,OVER,80.5,84.5,75,1.813238713690211,5.8325694031463655,3.4,1548.1590649074355,1557.9857121480834,33.51672458950725
14,2026-03-17,401858338,Wichita State Shockers,home,77.5,OVER,82,75.5,75,4.440886608232063,-1.9358860573014312,3.4,1572.5836927575424,1522.1888306446278,127.0002092186594
15,2026-03-17,401856434,NC State Wolfpack,home,80,UNDER,76.5,83,75.5,-3.3812224138477376,3.2260704689975057,3.3,1557.9857121480834,1548.1590649074355,33.51672458950725
16,2026-03-17,401858193,South Alabama Jaguars,away,68,UNDER,64.5,89.5,74.5,-3.8216592013451702,21.04089398183065,3.3,1550.653584303456,1506.4260378327824,-24.310790243711608
17,2026-03-17,401858197,UC Irvine Anteaters,home,77.5,UNDER,76,80.5,76.5,-1.5921635367282505,2.89386124284286,2.1,1592.9934725002486,1499.9154194627756,155.73418760218897
18,2026-03-17,401858339,Oklahoma State Cowboys,home,82,UNDER,81,78.5,74.5,-1.0689935096268357,-3.6349558533829622,2.1,1519.1514774791174,1537.5465555398089,-50.57644420186784
19,2026-03-17,401858194,St. Thomas-Minnesota Tommies,away,72,UNDER,71,81,76,-1.2797039556961494,8.705491242092862,1.2,1591.576174149851,1545.8671541600663,-160.26359573360787
20,2026-03-17,401858195,Liberty Flames,away,69.5,UNDER,69.5,77.5,74.5,-0.2003459342845133,7.802205028832873,0.5,1598.5054725401508,1572.0799626474463,-38.786415596192455
