rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,line_move_total,line_move_pts,n_snapshots,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
1,2026-03-14,401851435,Cornell Big Red,Yale Bulldogs,163.5,-3.5,UNDER,146,162,169.5,143,154,150.5,-17.66633695050112,-1.2543359213405836,5.958313440501087,-20.418548583984375,-13.115372349826998,-9.460336435920851,12.9,NA,0,NA,1610.9434304770164,1537.2931341873766,117.93000382436252,1748.994333378466,1631.0643295541036,76.76040016535357,73.62422748481943
2,2026-03-14,401851398,Hawai'i Rainbow Warriors,UC Irvine Anteaters,138.5,-2.25,OVER,149.5,144.5,158,143.5,147,148.5,11.108517573431186,5.920579861333124,19.599475493817124,4.7854461669921875,9.765698673181987,8.514548717382155,12.3,NA,0,NA,1585.85399774009,1585.704455981792,69.7780912216574,1696.4069436068469,1626.6288523851892,73.47096104720214,74.79473762597985
3,2026-03-14,401851570,Ole Miss Rebels,Arkansas Razorbacks,157.5,-8.5,OVER,163,168,169,139.5,165.5,151,5.528861205500505,10.299775303859349,11.611637343806706,-18.061874389648438,-6.595600824491129,7.914318254679927,10.3,NA,0,NA,1605.1969675889718,1471.5872176716878,298.9851958425147,1783.018749432063,1484.0335535895483,79.61007977185956,71.29431940364931
4,2026-03-14,401851228,Tulsa Golden Hurricane,Wichita State Shockers,149.5,0,OVER,151.5,161,152.5,159,156,150,1.9676847717224462,11.272687461084274,3.231212585634694,9.510650634765625,0.35011909398815533,6.620186116403346,9.7,NA,0,NA,1572.5836927575424,1628.9594513571317,-66.93512474487716,1705.0608087506232,1771.9959334955004,73.28207874682472,76.56804034716342
5,2026-03-14,401851306,Houston Cougars,Arizona Wildcats,138,-2.5,OVER,143.5,144.5,152.5,139.5,144,146.5,5.353706414794601,6.029490191537832,14.43767404669785,1.4759521484375,8.376388888888897,5.6915983031662165,9.2,NA,0,NA,1716.357800682454,1650.017982959424,141.33505999669978,1973.2959675013951,1831.9609075046956,76.11805555555556,70.50833333333334
6,2026-03-14,401851384,Wisconsin Badgers,Michigan Wolverines,161,-12.5,UNDER,151.5,177,154,138.5,164.5,147,-9.627975114481814,16.233621515248046,-6.985115866832075,-22.711685180664062,-13.856155555555574,3.302823200383102,8.6,NA,0,NA,1704.1002877635044,1612.2118978421602,244.60036553796976,1995.7486352848448,1751.1482697468748,77.02495555555556,70.11888888888889
7,2026-03-14,401851436,Pennsylvania Quakers,Harvard Crimson,136,-2.5,OVER,136,142,146,143,139,151,0.10497438243501733,6.238733605276593,10.195993329144073,6.8668060302734375,14.76654093645044,3.171853993855791,6.4,NA,0,NA,1562.4662742793194,1548.172308805065,24.585550028976968,1673.3647630164671,1648.7792129874902,75.45846457056706,75.30807636588338
8,2026-03-14,401858192,Toledo Rockets,Akron Zips,159,-7,UNDER,151.5,172,161,142,161.5,152,-7.451070309222104,12.90846545299749,2.0331677502827006,-17.011947631835938,-7.216668749999997,2.728697571887693,6.2,NA,0,NA,1656.7427913424017,1541.6981907682718,208.93903705613505,1854.42598967016,1645.486952614025,79.65499791666667,72.12833333333333
9,2026-03-14,401851726,Prairie View A&M Panthers,Southern Jaguars,151.5,-2.5,OVER,151.5,160,139,144.5,156,150,0.09734994183978074,8.4227356449002,-12.408509439702954,-7.0098724365234375,-1.3603409855486177,4.2600427933699905,5.6,NA,0,NA,1499.8636138449624,1488.245274979196,19.74115934385236,1522.5194087763928,1502.7782494325404,75.21799940604141,74.92165960840997
10,2026-03-14,401851183,Virginia Cavaliers,Duke Blue Devils,137.5,-8.5,OVER,137.5,142,152,140,140,144.5,0.17570666608276042,4.384555851139851,14.527640760732595,2.7313232421875,6.894444444444446,2.2801312586113056,5.6,NA,0,NA,1710.2962325697274,1674.605694544418,131.5929312242697,1996.7131301762147,1865.120198951945,74.01111111111112,70.38333333333334
