rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,line_move_total,line_move_pts,n_snapshots,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
1,2026-03-12,401851410,Middle Tennessee Blue Raiders,Louisiana Tech Bulldogs,131.5,1.5,OVER,146,137.5,136,143,142,146,14.617481858506522,6.026918743151242,4.3388315451069275,11.330062866210938,14.447571499255446,10.322200300828882,14.2,-0.5,-0.1,6,1530.6861487325298,1542.839397780198,-43.66555026558308,1564.3235964613782,1607.9891467269613,72.1804571224373,73.76711437681816
2,2026-03-12,401851411,Kennesaw State Owls,Western Kentucky Hilltoppers,159,-1.5,UNDER,150.5,150,157,142.5,150,147.5,-8.735669072519414,-8.898208553832603,-1.9981578054216982,-16.3177490234375,-11.37703804973873,-8.816938813176023,12.4,-0.5,0.1,6,1528.4748048898502,1516.7263876866753,2.253490104897992,1558.5902991871817,1556.3368090822837,73.46749445398024,74.15546749628103
3,2026-03-12,401851268,Loyola Chicago Ramblers,Davidson Wildcats,132,-7,OVER,139,143.5,133.5,142,141,148,6.576971741520595,11.247216337053146,1.3819902899614078,9.8900299072265625,15.650257538975637,8.91209403928687,12.2,NA,0,NA,1544.7571026613562,1422.003015225016,226.557220691167,1615.69900096509,1389.1417802739231,77.02131704216005,70.87894049681559
4,2026-03-12,401851376,Washington Huskies,Wisconsin Badgers,156.5,-7.5,UNDER,145.5,162,141,140.5,153.5,149.5,-10.86427326731652,5.328767561244376,-15.366832100637026,-16.18927001953125,-7.142801156755155,-2.767752853036086,10.5,NA,0,NA,1606.8096014456346,1494.1271481203974,201.8801201928634,1746.3422834247542,1544.4621632318908,78.16041564585495,71.19678319738989
5,2026-03-12,401851224,Florida Atlantic Owls,North Texas Mean Green,135,0.5,OVER,146,139,130.5,143,142.5,146.5,10.899626616158457,3.6933775031805,-4.965254320518056,7.5800628662109375,11.473752182252895,7.2965020596694785,10.3,NA,0,NA,1529.5581243947593,1523.1980964614495,-10.547924932530124,1569.3073643838052,1579.8552893163353,72.81885230804917,73.90489987420374
6,2026-03-12,401858189,Ohio Bobcats,Kent State Golden Flashes,159,-3.5,UNDER,150.5,153.5,161,144,152,149.5,-8.451055804895077,-5.3404119969831925,2.146847995807917,-15.108489990234375,-9.356181986104048,-6.895733900939149,9.9,-1,0.2,6,1610.2862773781712,1495.5400110951546,194.8889933370183,1698.7221313346554,1503.833137997637,78.4199118623962,71.22390615149975
7,2026-03-12,401851378,Rutgers Scarlet Knights,UCLA Bruins,142,-11.5,OVER,146.5,153,132,139,149.5,147,4.513985831859799,11.47847135072152,-9.694420121628468,-2.7176666259765625,5.1776278146236905,7.996228591290674,9.7,NA,0,NA,1578.6535790507733,1477.3976196481044,232.3692391314487,1722.3900495797302,1490.0208104482815,76.34170324451073,70.58592457011295
8,2026-03-12,401851561,Kentucky Wildcats,Missouri Tigers,149,3,OVER,154,156,149.5,163,155,148,5.135022528302727,7.222360543171703,0.630755171695597,13.933807373046875,-0.77309305669678,6.178691535737215,9.3,NA,0,NA,1566.104384514889,1559.8576129493254,-42.25383759969531,1630.6148745937069,1672.8687121934022,73.76161635168448,74.46529059161874
9,2026-03-12,401851311,Providence Friars,St. John's Red Storm,158.5,-11,UNDER,149,161.5,150,142,155.5,145.5,-9.431806433448372,3.1609725213885156,-8.671063507070642,-16.511947631835938,-13.089086145791384,-3.1354169560299283,8.8,NA,0,NA,1649.9904356602733,1515.4253041824054,288.9353592649545,1861.868830559383,1572.9334712944285,77.05609710028192,68.35481675392671
10,2026-03-12,401851562,Auburn Tigers,Tennessee Volunteers,147,-5.5,OVER,149.5,157,159,142,153,147,2.4429906013996003,10.056565538128638,11.783280191730256,-5.19696044921875,0.12299722426922699,6.249778069764119,8.8,NA,0,NA,1567.071801564629,1513.262690998768,142.1968473979637,1704.7323387004028,1562.5354913024391,74.10409436256448,73.01890286170475
