run_time,game_id,away_team,home_team,market_total,market_spread_home
2026-03-20T01:46:30,401856532,Saint Louis Billikens,Michigan Wolverines,161.5,-12.5
2026-03-20T01:46:30,401856531,Louisville Cardinals,Michigan State Spartans,150.75,-4.5
2026-03-20T01:46:30,401856530,TCU Horned Frogs,Duke Blue Devils,139.75,-11
2026-03-20T01:46:30,401856535,Texas A&M Aggies,Houston Cougars,142.5,-9.5
2026-03-20T01:46:30,401856537,Texas Longhorns,Gonzaga Bulldogs,148.5,-5.5
2026-03-20T01:46:30,401856533,VCU Rams,Illinois Fighting Illini,152.25,-10.5
2026-03-20T01:46:30,401856534,Vanderbilt Commodores,Nebraska Cornhuskers,148.5,2.5
2026-03-20T01:46:30,401856536,High Point Panthers,Arkansas Razorbacks,169,-11
2026-03-20T01:46:30,401858350,Dayton Flyers,UNC Wilmington Seahawks,139.5,2.5
2026-03-20T01:46:30,401858349,Liberty Flames,Nevada Wolf Pack,147.5,-7.5
2026-03-20T05:33:26,401856532,Saint Louis Billikens,Michigan Wolverines,161.5,-12.5
2026-03-20T05:33:26,401856531,Louisville Cardinals,Michigan State Spartans,150.75,-4.5
2026-03-20T05:33:26,401856530,TCU Horned Frogs,Duke Blue Devils,139.75,-11
2026-03-20T05:33:26,401856535,Texas A&M Aggies,Houston Cougars,142.5,-9.5
2026-03-20T05:33:26,401856537,Texas Longhorns,Gonzaga Bulldogs,148.5,-5.5
2026-03-20T05:33:26,401856533,VCU Rams,Illinois Fighting Illini,152.25,-10.5
2026-03-20T05:33:26,401856534,Vanderbilt Commodores,Nebraska Cornhuskers,148.5,2.5
2026-03-20T05:33:26,401856536,High Point Panthers,Arkansas Razorbacks,169,-11
2026-03-20T05:33:26,401858350,Dayton Flyers,UNC Wilmington Seahawks,139.5,2.5
2026-03-20T05:33:26,401858349,Liberty Flames,Nevada Wolf Pack,147.5,-7.5
