rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
17,2026-03-06,401828462,VCU Rams,Dayton Flyers,148.5,-1.5,UNDER,145,157.5,134.5,159,151,151,-3.718784782766619,9.10688407830554,-14.199999769220227,10.510650634765625,2.5602442028985593,2.694049647769475,3.8,1594.526776278092,1623.382685320225,-39.55040870011953,1748.5565049581055,1788.1069136582253,74.10202898550725,76.9582152173913
18,2026-03-06,401818565,Pennsylvania Quakers,Brown Bears,144.5,2,UNDER,141,147.5,151,147,144.5,149,-3.4051722981102444,3.2149915381921517,6.280223674811452,2.7029571533203125,4.5569661468210825,-0.09509037995906056,3.8,1445.0226012073877,1539.1514692135154,-213.8437469407079,1410.869621313676,1624.7133682543838,72.88169723548486,76.1752689113362
19,2026-03-06,401814599,Buffalo Bulls,Toledo Rockets,153.5,-8,UNDER,150,162,155.5,143,156,152,-3.4836394523015883,8.37385456047312,2.131664906661058,-10.633193969726562,-1.5400819342763157,2.44510755408578,3.6,1526.114842635356,1506.1053358584802,95.48911650089576,1622.3816072418088,1526.892490740913,76.94001617420855,75.01990189151512
20,2026-03-06,401851489,UIC Flames,Murray State Racers,148,-1.5,OVER,149.5,149.5,147.5,143.5,149.5,152.5,1.133596188503958,1.286342401988918,-0.6678714715744718,-4.83856201171875,4.3687933528397025,1.2099692952464238,3.3,1555.4559563674154,1529.9073822725225,-45.90959170512906,1574.816398611547,1620.725990316676,77.19296718808613,75.42582616475356
21,2026-03-06,401822972,St. John's Red Storm,Seton Hall Pirates,136,4,OVER,136.5,125,140.5,151.5,130.5,149.5,0.470207010124426,-11.218511177693799,4.2638826783027355,15.601791381835938,13.476835429510913,-5.374152083784679,3.1,1565.288049450681,1640.4258614162895,-199.0947419025715,1645.5394480424516,1844.634189945023,72.34314221126182,77.13369321824908
22,2026-03-06,401851624,Denver Pioneers,North Dakota Fighting Hawks,158,3.5,UNDER,157.5,170,164.5,142.5,163.5,152,-0.877708055775912,11.507465809348815,6.172037023315738,-15.966949462890625,-6.206780751636899,5.314878876786452,2.5,1510.7868780056008,1506.6043060345585,-50.61335410526135,1493.651306243387,1544.2646603486482,75.46336956198753,76.57984968637557
23,2026-03-06,401851247,Stetson Hatters,Austin Peay Governors,150.5,-11.5,OVER,151.5,148.5,166.5,144,150,149,1.1053579635969015,-1.8592269267784616,15.8324522481511,-6.5999755859375,-1.2546393035862593,-0.37693448159078,2.3,1591.1402013564052,1451.9363383922052,204.2443056151726,1656.1308219425628,1451.8865163273902,78.15600108336591,71.08935961304783
24,2026-03-06,401851580,VMI Keydets,UNC Greensboro Spartans,154.5,-7.5,OVER,157,148.5,146,135,153,144.5,2.686876634987584,-6.115123306206328,-8.656348069215511,-19.35693359375,-10.18861019115485,-1.7141233356093721,2.1,1483.830192674326,1355.3274069762665,268.88571378007646,1472.5871713082329,1203.7014575281564,74.96984164687252,69.34154816197264
25,2026-03-06,401851245,Bellarmine Knights,Central Arkansas Bears,155,-6.5,UNDER,154.5,155,161,144,155,149,-0.25129485562112563,0.11874964540112387,6.13472894276731,-11.0999755859375,-6.073660696854461,-0.06627260510998667,1.5,1609.792727657987,1467.0094363490637,271.5903392462885,1745.6572764924715,1474.0669372461832,78.52027808988457,70.40606121326095
26,2026-03-06,401851246,Florida Gulf Coast Eagles,Lipscomb Bisons,150,-4.25,OVER,150.5,149,142,139.5,150,151,0.4002509929369751,-0.8602508237237316,-8.151197521519236,-10.563461303710938,1.0513959395473762,-0.22999991539336406,0.9,1541.8606572789083,1468.840043334668,132.62243586042428,1569.4414570791605,1436.8190212187362,76.7720863362659,74.27930960328148
