rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,line_move_total,line_move_pts,n_snapshots,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
1,2026-03-21,401856535,Texas A&M Aggies,Houston Cougars,142.5,-9.5,OVER,151.5,166.5,146,139,159,146.5,9.079976478440074,24.16461439465877,3.683432202266175,-3.6189727783203125,3.9064803247373447,16.62229543654942,18.8,NA,0,NA,1650.5624192431092,1571.8925477210262,190.5055477428882,1842.6685387019045,1652.162990959016,74.67443161413563,71.73204871060173
2,2026-03-21,401856532,Saint Louis Billikens,Michigan Wolverines,161.5,-12.5,UNDER,148,169,157.5,139.5,158.5,142.5,-13.50107455131672,7.70405349593517,-4.160227402891593,-21.7740478515625,-19.24191666666667,-2.898510527690746,10.3,NA,0,NA,1714.8951384682548,1636.055405137643,234.380124973894,2003.183419156941,1768.803294183047,74.16919444444444,68.08888888888889
3,2026-03-21,401856530,TCU Horned Frogs,Duke Blue Devils,140,-11,OVER,141.5,151,152.5,140,146,146.5,1.705898140905191,11.027350025509577,12.690157189921592,0.4813232421875,6.562880303030283,6.366624083207398,9.4,NA,0,NA,1723.4132233675853,1591.8988614076131,298.23103531821334,2011.684184425566,1713.4531491073526,75.95530454545454,70.35757575757576
4,2026-03-21,401858350,Dayton Flyers,UNC Wilmington Seahawks,139.5,2.5,OVER,141,148,147,142.5,144.5,146.5,1.3947325745345722,8.737317570010617,7.460413210248419,3.243927001953125,6.818685957240035,5.066025072272595,8.2,NA,0,NA,1638.7029717652292,1603.3789482887678,2.3851422806010305,1742.9039953195506,1740.5188530389496,73.65459358600583,72.6640923712342
5,2026-03-21,401856533,VCU Rams,Illinois Fighting Illini,152,-10.5,UNDER,144,164,143,137,154,145.5,-8.312923198267839,11.736468583386625,-9.35638904939978,-15.109954833984375,-6.903438690476179,1.711772692559407,7.4,NA,0,NA,1654.294006921349,1646.8762795983732,33.469444015833005,1867.205025516308,1833.735581500475,72.75802083333333,72.58854047619049
6,2026-03-21,401856536,High Point Panthers,Arkansas Razorbacks,169,-11,UNDER,162,175.5,168.5,152.5,169,145,-7.0115628180017495,6.563326612112746,-0.5502005732717805,-16.724868774414062,-24.194415954415945,-0.22411810294448742,6.7,NA,0,NA,1611.969350245217,1662.7078052824224,-35.64425716884739,1791.0533333925332,1826.6975905613808,71.69951566951568,73.10606837606838
7,2026-03-21,401856534,Vanderbilt Commodores,Nebraska Cornhuskers,148.5,2.5,UNDER,145,145.5,146,152.5,145.5,145,-3.4724558512061208,-2.845355783381251,-2.626923296387986,3.7751312255859375,-3.4265493464052383,-3.158905817293686,6.1,NA,0,NA,1627.164171925493,1622.8762890649916,-107.80332565436402,1724.3511226737976,1832.1544483281616,71.22712647058825,73.84632418300653
8,2026-03-21,401858349,Liberty Flames,Nevada Wolf Pack,147.5,-7.5,UNDER,144,147,151.5,144.5,145.5,146.5,-3.5828003657839247,-0.6487361093932122,4.21417421470494,-3.23260498046875,-1.0698634252169654,-2.1157682375885543,4.9,NA,0,NA,1572.5649832899012,1609.4688271956263,-31.280319532649628,1647.1107072348168,1678.3910267674664,72.83246863195508,73.59766794282797
9,2026-03-21,401856537,Texas Longhorns,Gonzaga Bulldogs,148.5,-5.5,UNDER,145,158,145.5,138.5,151.5,147.5,-3.739151781880281,9.370392983063681,-3.0063414633001173,-10.211685180664062,-0.8312988796557192,2.8156206005917,4.7,NA,0,NA,1684.332608461831,1560.142208052396,228.90284896652472,1896.604270051437,1667.7014210849122,76.80668178018499,70.86201934015928
10,2026-03-21,401856531,Louisville Cardinals,Michigan State Spartans,151,-4.5,UNDER,150.5,158,151.5,151.5,154.5,146.5,-0.26311410793178425,7.376239689913348,0.864805513975341,0.92718505859375,-4.359659769289124,3.5565627909907676,1.1,NA,0,NA,1615.031005820681,1600.2238158984337,14.984615039555363,1772.8244316825464,1757.839816642991,72.79868549874266,73.59165473196822
