rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-14,401851228,Tulsa Golden Hurricane,away,75,OVER,95.5,86.5,76.5,20.598478262677958,11.657498130936872,17,1634.8608500318926,1572.5836927575424,-74.20218888247018
2,2026-03-14,401851276,Saint Joseph's Hawks,away,70,UNDER,58.5,71,72,-11.2247084440192,1.1802391296474326,7.2,1591.521148500701,1639.8982377225225,124.10328296954958
3,2026-03-14,401851384,Michigan Wolverines,home,86.5,UNDER,78.5,81.5,76.5,-7.9125764906338105,-4.962903632864538,6.7,1709.1275974504777,1612.2118978421602,248.28498673364103
4,2026-03-14,401851398,UC Irvine Anteaters,home,70,OVER,77,77,73,6.5747816183877745,6.586070446424728,6.6,1592.9934725002486,1592.993199481175,58.66346120046887
5,2026-03-14,401851436,Pennsylvania Quakers,away,67,OVER,74,72,73.5,6.6832083337502866,4.754880662607107,5.9,1548.172308805065,1562.4662742793194,24.585550028976968
6,2026-03-14,401851505,Utah State Aggies,home,74.5,OVER,79.5,81.5,75.5,4.83766769469797,7.000294997995965,5.7,1638.7224351789523,1593.5664693139652,43.3631415619916
7,2026-03-14,401851726,Prairie View A&M Panthers,away,74,UNDER,65.5,80.5,73.5,-8.62101541771247,6.533638005692481,5.5,1500.2666418283443,1511.869234511175,-3.2721846867345903
8,2026-03-14,401851306,Arizona Wildcats,home,70,OVER,75.5,75.5,77,5.321865246952015,5.421272154229328,5.4,1722.6835341652188,1657.097372247445,126.50304014417657
9,2026-03-14,401851386,UCLA Bruins,home,70,OVER,72.5,79,73.5,2.3919393207923036,9.084649945941635,5.1,1597.2158530032257,1607.389949716953,-27.46363896885464
10,2026-03-14,401851569,Vanderbilt Commodores,away,76,UNDER,68.5,85.5,71.5,-7.791904042786541,9.26252937432102,5.1,1609.6467446133004,1666.0175441412584,171.79130473798023
