run_time,game_id,away_team,home_team,market_total,market_spread_home
2026-03-14T01:38:40,401851384,Wisconsin Badgers,Michigan Wolverines,161,-12.5
2026-03-14T01:38:40,401851569,Vanderbilt Commodores,Florida Gators,160.75,-8
2026-03-14T01:38:40,401851386,Purdue Boilermakers,UCLA Bruins,147.25,7.5
2026-03-14T01:38:40,401851306,Houston Cougars,Arizona Wildcats,138.25,-2.5
2026-03-14T01:38:40,401851317,UConn Huskies,St. John's Red Storm,141,2.75
2026-03-14T01:38:40,401851435,Cornell Big Red,Yale Bulldogs,163.5,-3.5
2026-03-14T01:38:40,401851206,Vermont Catamounts,UMBC Retrievers,137,-3.5
2026-03-14T01:38:40,401851477,North Carolina Central Eagles,Howard Bison,144.5,-11.25
2026-03-14T01:38:40,401851275,Dayton Flyers,Saint Louis Billikens,149,-5.5
2026-03-14T01:38:40,401851436,Pennsylvania Quakers,Harvard Crimson,136,-2.5
2026-03-14T01:38:40,401851227,Charlotte 49ers,South Florida Bulls,153.75,-14.5
2026-03-14T01:38:40,401851570,Ole Miss Rebels,Arkansas Razorbacks,157.5,-8.5
2026-03-14T01:38:40,401851276,Saint Joseph's Hawks,VCU Rams,146.5,-6.5
2026-03-14T01:38:40,401851228,Tulsa Golden Hurricane,Wichita State Shockers,149.5,0
2026-03-14T01:38:40,401851726,Prairie View A&M Panthers,Southern Jaguars,151.5,-2.5
2026-03-14T01:38:40,401858192,Toledo Rockets,Akron Zips,159,-7
2026-03-14T01:38:40,401851183,Virginia Cavaliers,Duke Blue Devils,137.5,-8.5
2026-03-14T01:38:40,401851415,Kennesaw State Owls,Louisiana Tech Bulldogs,141,1.5
2026-03-14T01:38:40,401851398,Hawai'i Rainbow Warriors,UC Irvine Anteaters,138.5,-2.25
2026-03-14T01:38:40,401851739,California Baptist Lancers,Utah Valley Wolverines,140.25,-3
