date,n_games,n_graded,mean_tempo_match,sd_tempo_match,mean_tempo_base,mean_tempo_vol,sd_tempo_vol,mean_ppp_sum_base,mean_matchup_ppp,mean_matchup_gap,mean_three_sum,mean_ft_sum,mean_tov_sum,mean_blowout,mean_close,mean_margin_vol,mean_gp_min,mean_rest_min,mean_market_total,sd_market_total,MAE_total,bias_total,pct_within_5,pct_within_10,mean_abs_base_error,mean_tempo_actual,mean_ppp_sum_actual
2026-03-05,46,44,68.49244444444444,2.5739881473384627,69.66806414311763,8.630503117914754,1.6401075919600885,2.13512789096162,0.01664956085342018,0.08908019093799821,0.7580180923293143,0.7362098687693291,0.3455298443131034,0.3211111111111111,0.34444444444444444,12.276162215432825,27.77777777777778,3.8666666666666663,146.3048780487805,8.25218005194725,12.987179487179487,-0.3717948717948718,0.1794871794871795,0.3333333333333333,,67.33494318181819,2.172705846626104
2026-03-07,76,76,,,,,,,,,,,,,,,,,148.44078947368422,10.099494081475289,15.302631578947368,4.592105263157895,0.21052631578947367,0.3815789473684211,,68.92680921052632,2.2197631525255144
2026-03-08,14,14,,,,,,,,,,,,,,,,,146.53571428571428,5.894796550656042,15.035714285714286,6.035714285714286,0.2857142857142857,0.42857142857142855,,68.33482142857143,2.22457999610179
2026-03-06,26,26,68.34288043478261,1.8370714727113369,69.67685557741716,9.071392463854488,1.5903048512899378,2.222119440750791,-0.00715766468123262,0.09486275415635805,0.7993451377627934,0.6913148386662373,0.31656977380770834,0.3347826086956522,0.3032608695652174,12.401861984464896,27.82608695652174,3.782608695652174,149.72916666666666,8.953963376345,15.615384615384617,4.923076923076923,0.2307692307692308,0.34615384615384615,,69.6076923076923,2.2281110579099126
2026-03-09,13,13,,,,,,,,,,,,,,,,,145.1153846153846,10.012812305062464,14.461538461538462,-2.076923076923077,0.2307692307692308,0.38461538461538464,,65.8298076923077,2.2205196041718733
2026-03-10,24,24,,,,,,,,,,,,,,,,,144.91666666666666,10.207272201577728,14.208333333333334,-0.9583333333333334,0.25,0.4166666666666667,,67.7203125,2.1425185780228433
2026-03-11,38,38,,,,,,,,,,,,,,,,,146.71052631578948,7.639364253783914,15.078947368421051,-2.4473684210526314,0.23684210526315788,0.34210526315789475,,68.34440789473685,2.138579824556061
2026-03-12,44,44,,,,,,,,,,,,,,,,,146.8409090909091,8.906995374209785,11.602272727272728,-0.10227272727272728,0.20454545454545456,0.4545454545454546,,68.54772727272727,2.168036120503826
2026-03-13,34,34,,,,,,,,,,,,,,,,,146.66176470588235,10.376050942197624,15,-5.323529411764706,0.0588235294117647,0.35294117647058826,,67.50882352941176,2.142181203372251
2026-03-14,21,21,,,,,,,,,,,,,,,,,146.88095238095238,9.017905468988852,11.666666666666666,-7.904761904761905,0.23809523809523808,0.47619047619047616,,65.98214285714286,2.1609134311646527
2026-03-17,10,10,,,,,,,,,,,,,,,,,150,5.431390245600108,15.6,-2,0.1,0.3,,70.01375,2.114422327820993
2026-03-18,10,10,,,,,,,,,,,,,,,,,152.75,8.677077080830081,12.7,3,0.1,0.6,,68.1825,2.2504063183816165
2026-03-19,16,16,,,,,,,,,,,,,,,,,151.4375,10.355151696941318,15,-0.5,0.3125,0.375,,68.953125,2.185145274717182
