rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-07,401809164,Cal Poly Mustangs,home,91,UNDER,70,98,74,-21.042141473284275,6.981009033007837,13,1491.9406831054605,1380.3445019361916,295.14694230322084
2,2026-03-07,401825565,Purdue Boilermakers,home,82,UNDER,70.5,74,76,-11.718290549269,-8.340574961629812,10.4,1600.32029100397,1594.9499851189262,33.30889456370801
3,2026-03-07,401804967,Florida International Panthers,home,80,UNDER,72,66,74.5,-7.588158574035447,-13.711466356693407,10,1484.191749140773,1538.3053983022482,-108.9763063894793
4,2026-03-07,401804963,Liberty Flames,home,80.5,UNDER,69,74,74.5,-11.328607427128077,-6.235732224747522,9.3,1605.650946893537,1591.386861715992,-35.75002292556701
5,2026-03-07,401808285,Arkansas Razorbacks,away,79,OVER,89.5,85.5,78,10.617958915037889,6.490876272545762,9,1605.1969675889718,1566.104384514889,-152.40387483835616
6,2026-03-07,401827727,Kansas Jayhawks,home,86.5,UNDER,79.5,76,76.5,-7.092766255059658,-10.720810366876862,8.5,1592.2306976645195,1456.443509518444,289.93205615676993
7,2026-03-07,401822973,Marquette Golden Eagles,home,67,OVER,78,71,70.5,11.130420098659016,4.2106553245715475,8.4,1451.3727966651866,1660.7632371081188,-352.45209618582203
8,2026-03-07,401851198,New Hampshire Wildcats,away,62.5,OVER,76,64,69,13.170371579319607,1.1704939119222644,8.4,1405.0380604746056,1593.304309669391,401.69960253402473
9,2026-03-07,401827726,Arizona State Sun Devils,away,66.5,OVER,75,74.5,72.5,8.54442505639885,7.893713705208498,8.3,1523.569930246796,1620.291592148834,154.53550552947013
10,2026-03-07,401828466,Saint Louis Billikens,away,78,UNDER,67,82.5,78,-11.104640141099651,4.132993999452722,8.3,1654.8828447758242,1575.4850273539066,-236.37414410189035
11,2026-03-07,401804966,New Mexico State Aggies,home,78.5,OVER,91.5,66.5,73.5,12.654073989443916,-12.36767530068181,8.2,1493.051856563305,1525.947850382193,-44.7466695960004
12,2026-03-07,401804967,Western Kentucky Hilltoppers,away,81,UNDER,74.5,70,76,-6.1109800426792305,-10.90734208381987,8,1538.3053983022482,1484.191749140773,-108.9763063894793
13,2026-03-07,401851199,Bryant Bulldogs,away,60,OVER,72.5,62,69,12.195829808131379,1.7942104706065862,8,1401.9120393157475,1562.4124015173902,307.1434181627649
14,2026-03-07,401818337,Princeton Tigers,away,61,OVER,67,71.5,69.5,5.889954742412328,10.599223800641852,7.8,1429.5147450426027,1606.8793248034483,320.06793382376986
15,2026-03-07,401820789,Florida State Seminoles,home,81,UNDER,74.5,71.5,76,-6.469834604864275,-9.391493866205039,7.6,1536.072247941814,1537.336100139827,-13.80952856496856
16,2026-03-07,401823806,Grand Canyon Lopes,home,80,UNDER,74.5,70,76.5,-5.501574402625437,-10.21642746243326,7.4,1561.0346407985094,1464.926129613111,213.20087764584787
17,2026-03-07,401851519,Long Island University Sharks,home,75,UNDER,64,77.5,76.5,-10.708780405472737,2.5027747279538204,7.4,1587.206198720344,1471.3707729565622,156.51057229634398
18,2026-03-07,401820787,Georgia Tech Yellow Jackets,away,64,OVER,72,70,70.5,8.079717412123529,6.184192093821267,7.3,1425.5296388259353,1590.218962418987,368.8812603044055
19,2026-03-07,401820788,North Carolina Tar Heels,away,64.5,OVER,71,73,71,6.258358489970192,8.28395727246,7.1,1633.8677806867188,1699.2073395867778,214.4476913037006
20,2026-03-07,401820788,Duke Blue Devils,home,82,UNDER,77.5,72,75,-4.791629163410633,-10.345511602240734,7,1699.2073395867778,1633.8677806867188,214.4476913037006
21,2026-03-07,401822975,Butler Bulldogs,away,70,OVER,79,74,75,9.018596736447321,3.9563331163320044,7,1489.070447056535,1514.1198814448,89.63311191775915
22,2026-03-07,401827728,Houston Cougars,away,80.5,UNDER,72,75.5,79,-8.469044092491785,-4.696789968214119,7,1634.779012557407,1522.282396999603,-278.51221322672313
23,2026-03-07,401825565,Wisconsin Badgers,away,74,UNDER,63.5,83.5,75.5,-10.292802677783698,9.518201903504817,6.7,1594.9499851189262,1600.32029100397,33.30889456370801
24,2026-03-07,401827728,Oklahoma State Cowboys,home,68,OVER,77,71.5,72.5,8.915243211994095,3.4194158365548617,6.7,1522.282396999603,1634.779012557407,-278.51221322672313
25,2026-03-07,401830012,Dartmouth Big Green,home,80,UNDER,71.5,84,74,-8.555845308053364,3.9419909921543876,6.7,1462.2338303315223,1527.4430565358764,-194.60899532782264
26,2026-03-07,401851582,Western Carolina Catamounts,away,77,UNDER,67.5,74,75.5,-9.140284457397101,-2.9164390493897514,6.7,1507.9393287567268,1543.6924625777262,48.61304166058676
27,2026-03-07,401808281,Kentucky Wildcats,home,77,OVER,86,80,71,8.930478422511413,3.0294310592381493,6.6,1563.237610746086,1650.8371079964306,-249.9293115781595
28,2026-03-07,401820787,Clemson Tigers,home,80,UNDER,73.5,74,78,-6.7345872925045285,-6.2932244569066995,6.6,1590.218962418987,1425.5296388259353,368.8812603044055
29,2026-03-07,401825566,UCLA Bruins,away,79,UNDER,68.5,80,77.5,-10.071881081622479,1.3039715759385189,6.6,1568.3223231993302,1519.8355426714438,-172.31717633993594
30,2026-03-07,401809122,UC Irvine Anteaters,home,77.5,UNDER,71.5,70,76,-5.940705459050918,-7.424818186725062,6.5,1585.85399774009,1540.0430195503372,106.57234499532548
31,2026-03-07,401825566,USC Trojans,home,72,OVER,82.5,73,74.5,10.422866957623654,0.5029940190459428,6.5,1519.8355426714438,1568.3223231993302,-172.31717633993594
32,2026-03-07,401809152,Long Beach State Beach,away,68,UNDER,60,72.5,NA,-7.763467964494119,4.381612142062494,6.4,1420.3019390975137,NA,NA
33,2026-03-07,401827725,Arizona Wildcats,away,85,UNDER,75.5,86.5,79.5,-9.80039165400406,1.4002903388734609,6.4,1704.8933847307037,1525.0838225204827,-363.4058799756226
34,2026-03-07,401828467,George Washington Revolutionaries,away,81,UNDER,71.5,97,74.5,-9.292565991611525,16.365139810365406,6.4,1514.8970710396115,1396.9882278146142,-303.4878454757559
35,2026-03-07,401808288,Auburn Tigers,away,84,UNDER,74,85,72.5,-9.700562744344424,1.1126725225421694,6.3,1511.8233075793137,1613.971895853732,204.0343151241002
36,2026-03-07,401809122,UC Davis Aggies,away,68.5,UNDER,58.5,68,75,-10.05080131014708,-0.38847373111407535,6.2,1540.0430195503372,1585.85399774009,106.57234499532548
37,2026-03-07,401808285,Missouri Tigers,home,81,UNDER,72,79,73.5,-8.803903410362508,-2.1016221362848313,6.1,1566.104384514889,1605.1969675889718,-152.40387483835616
38,2026-03-07,401856425,Hampton Pirates,away,62,OVER,71.5,52.5,73,9.155380233883662,-9.565130324538757,6,1469.257814229839,1533.435126390635,154.17112303851172
39,2026-03-07,401820792,Syracuse Orange,home,74,OVER,76,86.5,76.5,1.7536789391132572,12.241454492068826,5.9,1511.269330288459,1443.3141916308384,81.91493264557562
40,2026-03-07,401851326,Idaho Vandals,home,82.5,UNDER,74.5,85,75.5,-8.05149721880592,2.434158597074102,5.8,1511.0591729966195,1424.5895479638832,142.0587521684347
41,2026-03-07,401823186,Cal State Fullerton Titans,away,83,UNDER,75.5,85.5,75.5,-7.469843568654923,2.946059622034113,5.7,1508.627654948653,1546.160591184636,39.9073313352485
42,2026-03-07,401851198,UMBC Retrievers,home,75,OVER,78,84.5,77,2.9996733336038517,9.287069541517297,5.5,1593.304309669391,1405.0380604746056,401.69960253402473
