date,picks,wins,losses,pushes,win_pct,avg_brain_score
2026-03-17,10,5,5,0,50,5.78
2026-03-14,21,11,9,1,55,6.73
2026-03-13,34,14,18,2,43.8,7.21
2026-03-12,44,22,22,0,50,6.84
2026-03-11,38,21,16,1,56.8,6.22
2026-03-10,24,9,14,1,39.1,6.66
2026-03-09,13,6,7,0,46.2,7.85
2026-03-08,14,8,6,0,57.1,5.8
2026-03-07,76,23,51,2,31.1,6.54
2026-03-06,24,15,9,0,62.5,5.75
2026-03-05,39,17,21,1,44.7,5.78
